unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!!uber_red_host_additional_units
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_contact_magic_attacks_ammo_type_magic	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_aura_of_healing	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_aura_of_hexing	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_barrier_boost	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_chain_lightning	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_ensorcelled_weapons_contact_magic_attacks_ammo_type_magic	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_field_medic_encourage	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_hunter_snare	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_hunter_trap	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_magma_storm	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_searing_doom	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_unstable_winds	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_urannons_thunderbolt	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_all_wake_of_fire_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_chorf_all_sadistic_snare	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_chorf_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_chorf_all_special_ash_storm_contact_searing_flaming_attacks	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_chorf_melee_armour_of_gazrakh	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_aura_of_blood	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_aura_of_dispelling	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_aura_of_protection	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_aura_of_purity	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_aura_of_rust	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_aura_of_shielding	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_aura_of_warding	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_bathed_in_blood	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_bathed_in_blood_bonus_vs_infantry	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_beacon_of_hope	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_berserk	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_berserk_bloodthirsty_rampage	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_berserk_terrifying_rampage	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_berserk_unstoppable_rampage	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_blazing_aura_contact_burning_flaming_attacks	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_blazing_aura_contact_flaming_attacks	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_blazing_aura_contact_searing_flaming_attacks	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_blinding_radiance	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_blood_frenzy	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_bloodgreed	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_bloodthirst	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_brace	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_chaos_armour	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_charge_breaker	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_chilling_aura	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_clairvoyance	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_colossal_strike_bonus_vs_large	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_courage_in_death	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_crowfeast	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_crush_the_weak	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_deadly_onslaught	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_dread_aversion	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_dread_legion_causes_terror	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_ever_burning_light_contact_blinding	False
roy_lzd_inf_skink_red_crests	nanu_dynamic_ror_ability_melee_flame_incarnate_contact_burning_flaming_attacks_ammo_type_flaming	False
