unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!17C_Deithland_Main
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_contact_magic_attacks_ammo_type_magic	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_aura_of_healing	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_aura_of_hexing	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_barrier_boost	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_chain_lightning	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_ensorcelled_weapons_contact_magic_attacks_ammo_type_magic	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_field_medic_encourage	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_hunter_snare	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_hunter_trap	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_magma_storm	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_searing_doom	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_unstable_winds	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_urannons_thunderbolt	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_all_wake_of_fire_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_chorf_all_sadistic_snare	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_chorf_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_chorf_all_special_ash_storm_contact_searing_flaming_attacks	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_empire_all_blessing_of_morr_undying_will_attribute_immPsy	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_empire_all_blessing_of_ranald_luck_of_ranald	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_powder_entrench	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_powder_firing_line	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_powder_firing_line_aoe	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_expert_skirmisher	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_hawkish_precision	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_rapid_fire	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_rapid_fire_aoe	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard_snipe	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_smokebomb	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_arcane	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_arcane_greater	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_barbed	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_barbed_greater	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_fire_charge	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_fire_charge_greater	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_flaming	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_flaming_greater	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_ice_shard	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_ice_shard_greater	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_piercing	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_piercing_greater	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_poison	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_ability_ranged_volley_poison_greater	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_attribute_all_barrier	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_attribute_all_barrier_greater	False
emp_pyrehulks_fusilaxe	nanu_dynamic_ror_attribute_all_immPsy_vanguard	False
