unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!AAA_dynasty_of_the_damned
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_contact_magic_attacks_ammo_type_magic	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_aura_of_healing	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_aura_of_hexing	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_barrier_boost	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_chain_lightning	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_ensorcelled_weapons_contact_magic_attacks_ammo_type_magic	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_field_medic_encourage	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_hunter_snare	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_hunter_trap	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_magma_storm	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_searing_doom	False
bm_theak_moloch_monks	nanu_dynamic_ror_ability_all_unstable_winds	False
