unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!Elven_Artillery
phoenix_cannon	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_contact_magic_attacks_ammo_type_magic	False
phoenix_cannon	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
phoenix_cannon	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
phoenix_cannon	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
phoenix_cannon	nanu_dynamic_ror_ability_all_aura_of_healing	False
phoenix_cannon	nanu_dynamic_ror_ability_all_aura_of_hexing	False
phoenix_cannon	nanu_dynamic_ror_ability_all_barrier_boost	False
phoenix_cannon	nanu_dynamic_ror_ability_all_chain_lightning	False
phoenix_cannon	nanu_dynamic_ror_ability_all_ensorcelled_weapons_contact_magic_attacks_ammo_type_magic	False
phoenix_cannon	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
phoenix_cannon	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
phoenix_cannon	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
phoenix_cannon	nanu_dynamic_ror_ability_all_field_medic_encourage	False
phoenix_cannon	nanu_dynamic_ror_ability_all_hunter_snare	False
phoenix_cannon	nanu_dynamic_ror_ability_all_hunter_trap	False
phoenix_cannon	nanu_dynamic_ror_ability_all_magma_storm	False
phoenix_cannon	nanu_dynamic_ror_ability_all_searing_doom	False
phoenix_cannon	nanu_dynamic_ror_ability_all_unstable_winds	False
phoenix_cannon	nanu_dynamic_ror_ability_all_urannons_thunderbolt	False
phoenix_cannon	nanu_dynamic_ror_ability_all_wake_of_fire_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	False
phoenix_cannon	nanu_dynamic_ror_ability_chorf_all_sadistic_snare	False
phoenix_cannon	nanu_dynamic_ror_ability_chorf_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	False
phoenix_cannon	nanu_dynamic_ror_ability_chorf_all_special_ash_storm_contact_searing_flaming_attacks	False
phoenix_cannon	nanu_dynamic_ror_ability_powder_entrench	False
phoenix_cannon	nanu_dynamic_ror_ability_powder_firing_line	False
phoenix_cannon	nanu_dynamic_ror_ability_powder_firing_line_aoe	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_expert_skirmisher	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_hawkish_precision	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_rapid_fire	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_rapid_fire_aoe	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard_snipe	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_smokebomb	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_volley_arcane	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_volley_arcane_greater	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_volley_barbed	False
phoenix_cannon	nanu_dynamic_ror_ability_ranged_volley_barbed_greater	False
