unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!Nurgle_Chargers
mutated_beasts	nanu_dynamic_ror_ability_all_arcane_blast	False
mutated_beasts	nanu_dynamic_ror_ability_all_arcane_blast_magic_attacks_ammo_type_magic	False
mutated_beasts	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
mutated_beasts	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_magic_attacks_ammo_type_magic	False
mutated_beasts	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_magic_attacks_ammo_type_magic	False
mutated_beasts	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
mutated_beasts	nanu_dynamic_ror_ability_all_aura_of_healing	False
mutated_beasts	nanu_dynamic_ror_ability_all_aura_of_hexing	False
mutated_beasts	nanu_dynamic_ror_ability_all_barrier_boost	False
mutated_beasts	nanu_dynamic_ror_ability_all_chain_lightining_urannons_thunderbolt	False
mutated_beasts	nanu_dynamic_ror_ability_all_chain_lightning	False
mutated_beasts	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
mutated_beasts	nanu_dynamic_ror_ability_all_ensorcelled_weapons_magic_attacks_ammo_type_magic	False
mutated_beasts	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_magic_attacks_ammo_type_magic	False
mutated_beasts	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
mutated_beasts	nanu_dynamic_ror_ability_all_field_medic_encourage	False
mutated_beasts	nanu_dynamic_ror_ability_all_freezing_aura_contact_freezing_attacks_ammo_type_frozen	False
mutated_beasts	nanu_dynamic_ror_ability_all_freezing_aura_contact_frostbite_attacks_ammo_type_frozen	False
mutated_beasts	nanu_dynamic_ror_ability_all_frostfire_tempest	False
mutated_beasts	nanu_dynamic_ror_ability_all_frostfire_tempest_contact_frostfire_attacks_ammo_type_frozen	False
mutated_beasts	nanu_dynamic_ror_ability_all_frozen_tomb	False
mutated_beasts	nanu_dynamic_ror_ability_all_frozen_tomb_aoe	False
mutated_beasts	nanu_dynamic_ror_ability_all_hunter_snare	False
mutated_beasts	nanu_dynamic_ror_ability_all_hunter_trap	False
mutated_beasts	nanu_dynamic_ror_ability_all_magma_storm	False
mutated_beasts	nanu_dynamic_ror_ability_all_searing_doom	False
mutated_beasts	nanu_dynamic_ror_ability_all_unstable_winds	False
mutated_beasts	nanu_dynamic_ror_ability_all_urannons_thunderbolt	False
mutated_beasts	nanu_dynamic_ror_ability_all_wake_of_fire_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	False
mutated_beasts	nanu_dynamic_ror_ability_melee_aura_of_blood	False
mutated_beasts	nanu_dynamic_ror_ability_melee_aura_of_dispelling	False
mutated_beasts	nanu_dynamic_ror_ability_melee_aura_of_protection	False
mutated_beasts	nanu_dynamic_ror_ability_melee_aura_of_purity	False
mutated_beasts	nanu_dynamic_ror_ability_melee_aura_of_rust	False
mutated_beasts	nanu_dynamic_ror_ability_melee_aura_of_shielding	False
mutated_beasts	nanu_dynamic_ror_ability_melee_aura_of_warding	False
mutated_beasts	nanu_dynamic_ror_ability_melee_bathed_in_blood	False
mutated_beasts	nanu_dynamic_ror_ability_melee_bathed_in_blood_bonus_vs_infantry	False
mutated_beasts	nanu_dynamic_ror_ability_melee_beacon_of_hope	False
mutated_beasts	nanu_dynamic_ror_ability_melee_berserk	False
mutated_beasts	nanu_dynamic_ror_ability_melee_berserk_bloodthirsty_rampage	False
mutated_beasts	nanu_dynamic_ror_ability_melee_berserk_terrifying_rampage	False
mutated_beasts	nanu_dynamic_ror_ability_melee_berserk_unstoppable_rampage	False
mutated_beasts	nanu_dynamic_ror_ability_melee_blazing_aura_contact_burning_flaming_attacks	False
mutated_beasts	nanu_dynamic_ror_ability_melee_blazing_aura_contact_searing_flaming_attacks	False
mutated_beasts	nanu_dynamic_ror_ability_melee_blazing_aura_flaming_attacks	False
mutated_beasts	nanu_dynamic_ror_ability_melee_blinding_radiance	False
mutated_beasts	nanu_dynamic_ror_ability_melee_blood_frenzy	False
mutated_beasts	nanu_dynamic_ror_ability_melee_bloodgreed	False
mutated_beasts	nanu_dynamic_ror_ability_melee_bloodthirst	False
mutated_beasts	nanu_dynamic_ror_ability_melee_chaos_armour	False
mutated_beasts	nanu_dynamic_ror_ability_melee_charge_breaker	False
mutated_beasts	nanu_dynamic_ror_ability_melee_chilling_aura	False
mutated_beasts	nanu_dynamic_ror_ability_melee_clairvoyance	False
mutated_beasts	nanu_dynamic_ror_ability_melee_clairvoyance_attribute_piercing_gaze	False
mutated_beasts	nanu_dynamic_ror_ability_melee_colossal_strike_bonus_vs_large	False
mutated_beasts	nanu_dynamic_ror_ability_melee_courage_in_death	False
mutated_beasts	nanu_dynamic_ror_ability_melee_crowfeast	False
mutated_beasts	nanu_dynamic_ror_ability_melee_crush_the_weak	False
mutated_beasts	nanu_dynamic_ror_ability_melee_deadly_onslaught	False
mutated_beasts	nanu_dynamic_ror_ability_melee_dread_aversion	False
mutated_beasts	nanu_dynamic_ror_ability_melee_dread_legion_causes_terror	False
mutated_beasts	nanu_dynamic_ror_ability_melee_ever_burning_light_contact_blinding	False
mutated_beasts	nanu_dynamic_ror_ability_melee_flame_incarnate_contact_burning_flaming_attacks_ammo_type_flaming	False
mutated_beasts	nanu_dynamic_ror_ability_melee_flame_incarnate_contact_scorching_flaming_attacks_ammo_type_flaming	False
mutated_beasts	nanu_dynamic_ror_ability_melee_flame_incarnate_contact_searing_flaming_attacks_ammo_type_flaming	False
mutated_beasts	nanu_dynamic_ror_ability_melee_flame_incarnate_flaming_attacks_ammo_type_flaming	False
mutated_beasts	nanu_dynamic_ror_ability_melee_flesh_stitch	False
mutated_beasts	nanu_dynamic_ror_ability_melee_freezing_aura	False
mutated_beasts	nanu_dynamic_ror_ability_melee_frenzied_charge	False
mutated_beasts	nanu_dynamic_ror_ability_melee_frenzy_immPsy	False
mutated_beasts	nanu_dynamic_ror_ability_melee_gorefeast	False
mutated_beasts	nanu_dynamic_ror_ability_melee_gravity_shift	False
mutated_beasts	nanu_dynamic_ror_ability_melee_grim_resolve_immPsy	False
mutated_beasts	nanu_dynamic_ror_ability_melee_guardian	False
mutated_beasts	nanu_dynamic_ror_ability_melee_heroic_charge	False
mutated_beasts	nanu_dynamic_ror_ability_melee_heroic_killing_blow	False
mutated_beasts	nanu_dynamic_ror_ability_melee_hold_the_line	False
mutated_beasts	nanu_dynamic_ror_ability_melee_holy_aura	False
mutated_beasts	nanu_dynamic_ror_ability_melee_horrible_regeneration	False
mutated_beasts	nanu_dynamic_ror_ability_melee_immaculate_charge	False
mutated_beasts	nanu_dynamic_ror_ability_melee_miasma_of_dispair	False
mutated_beasts	nanu_dynamic_ror_ability_melee_monstrous_strength_bonus_vs_infantry	False
