unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!ab_unwashed_masses
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_arcane_blast	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_arcane_blast_magic_attacks_ammo_type_magic	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_magic_attacks_ammo_type_magic	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_magic_attacks_ammo_type_magic	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_aura_of_healing	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_aura_of_hexing	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_barrier_boost	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_chain_lightining_urannons_thunderbolt	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_chain_lightning	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_ensorcelled_weapons_magic_attacks_ammo_type_magic	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_magic_attacks_ammo_type_magic	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_field_medic_encourage	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_freezing_aura_contact_freezing_attacks_ammo_type_frozen	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_freezing_aura_contact_frostbite_attacks_ammo_type_frozen	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_frostfire_tempest	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_frostfire_tempest_contact_frostfire_attacks_ammo_type_frozen	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_frozen_tomb	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_frozen_tomb_aoe	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_hunter_snare	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_hunter_trap	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_magma_storm	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_searing_doom	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_unstable_winds	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_urannons_thunderbolt	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_all_wake_of_fire_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_aura_of_blood	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_aura_of_dispelling	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_aura_of_protection	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_aura_of_purity	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_aura_of_rust	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_aura_of_shielding	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_aura_of_warding	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_bathed_in_blood	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_bathed_in_blood_bonus_vs_infantry	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_beacon_of_hope	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_berserk	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_berserk_bloodthirsty_rampage	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_berserk_terrifying_rampage	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_berserk_unstoppable_rampage	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_blazing_aura_contact_burning_flaming_attacks	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_blazing_aura_contact_searing_flaming_attacks	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_blazing_aura_flaming_attacks	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_blinding_radiance	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_blood_frenzy	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_bloodgreed	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_bloodthirst	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_chaos_armour	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_charge_breaker	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_chilling_aura	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_clairvoyance	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_clairvoyance_attribute_piercing_gaze	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_colossal_strike_bonus_vs_large	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_courage_in_death	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_crowfeast	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_crush_the_weak	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_deadly_onslaught	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_dread_aversion	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_dread_legion_causes_terror	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_ever_burning_light_contact_blinding	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_flame_incarnate_contact_burning_flaming_attacks_ammo_type_flaming	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_flame_incarnate_contact_scorching_flaming_attacks_ammo_type_flaming	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_flame_incarnate_contact_searing_flaming_attacks_ammo_type_flaming	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_flame_incarnate_flaming_attacks_ammo_type_flaming	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_flesh_stitch	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_freezing_aura	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_frenzied_charge	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_frenzy_immPsy	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_gorefeast	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_gravity_shift	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_grim_resolve_immPsy	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_guardian	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_heroic_charge	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_heroic_killing_blow	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_hold_the_line	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_holy_aura	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_horrible_regeneration	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_immaculate_charge	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_miasma_of_dispair	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_monstrous_strength_bonus_vs_infantry	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_murderous_charge	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_overwhelming_odor	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_primal_instincts	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_rage	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_regeneration	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_relentless_assault	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_resplendent_armour	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_rowdy	False
gnob_cav_pigback_riders_javelin	nanu_dynamic_ror_ability_melee_run_them_down	False
