unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!derpy_gunpowder_units
derpy_gp_homing	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_contact_magic_attacks_ammo_type_magic	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_aura_of_healing	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_aura_of_hexing	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_barrier_boost	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_chain_lightning	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_ensorcelled_weapons_contact_magic_attacks_ammo_type_magic	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_field_medic_encourage	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_hunter_snare	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_hunter_trap	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_magma_storm	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_searing_doom	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_unstable_winds	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_urannons_thunderbolt	False
derpy_gp_homing	nanu_dynamic_ror_ability_all_wake_of_fire_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	False
