unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!ovn_dread_king
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_contact_magic_attacks_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_aura_of_healing	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_aura_of_hexing	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_barrier_boost	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_chain_lightning	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_ensorcelled_weapons_contact_magic_attacks_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_contact_arcane_fire_attacks_ammo_type_arcane_fire	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_contact_magic_attacks_entropic_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_field_medic_encourage	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_hunter_snare	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_hunter_trap	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_magma_storm	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_searing_doom	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_unstable_winds	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_urannons_thunderbolt	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_all_wake_of_fire_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_chorf_all_sadistic_snare	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_chorf_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_chorf_all_special_ash_storm_contact_searing_flaming_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_powder_entrench	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_powder_firing_line	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_powder_firing_line_aoe	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_expert_skirmisher	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_hawkish_precision	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_rapid_fire	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_rapid_fire_aoe	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard_snipe	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_smokebomb	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_arcane	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_arcane_greater	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_barbed	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_barbed_greater	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_fire_charge	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_fire_charge_greater	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_flaming	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_flaming_greater	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_ice_shard	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_ice_shard_greater	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_piercing	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_piercing_greater	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ability_ranged_volley_poison_greater	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_all_barrier	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_all_barrier_greater	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_all_immPsy_vanguard	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_all_immune_to_contact	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_all_perfect_vigour	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_all_stalk_vanguard	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_all_strider_vanguard	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_all_wayfarer	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_ranged_stalk_snipe	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_attribute_ranged_unspottable_snipe_vanguard	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_basic_artillery_1	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_basic_artillery_2	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_basic_artillery_3	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_basic_elite_1	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_basic_elite_2	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_basic_elite_3	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_basic_ranged_1	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_basic_ranged_2	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_basic_ranged_3	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_climate_chaotic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_climate_desert	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_climate_frozen	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_climate_jungle	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_climate_magicforest	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_climate_mountain	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_climate_ocean	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_climate_snowy_mountain	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_climate_wasteland	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_arcane_fire_attacks_ammo_type_arcane_fire	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_armour_destruction_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_armour_destruction_magic_attacks_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_bleed	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_blinding_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_blinding_flaming_attacks_ammo_type_flaming	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_blinding_magic_attacks_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_bone_breaker_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_burning_flaming_attacks_ammo_type_flaming	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_charmed_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_contaminated_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_contaminated_magic_attacks_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_corrosive_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_crushing_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_cursed_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_dark_blood_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_dazed_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_dazed_magic_attacks_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_deadly_poison_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_disorienting_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_disrupted_magic_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_entangling_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_entropic_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_entropic_magic_attacks_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_euphoric_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_flaming_attacks_ammo_type_flaming	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_frostbite_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_frostbite_magic_attacks_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_magic_attacks_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_night_goblin_poison_attacks_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_poison_attacks_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_potent_poison_attacks_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_rampaging_poison_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_scorching_flaming_attacks_ammo_type_flaming	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_searing_flaming_attacks_ammo_type_flaming	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_sophiric_musk_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_sundering_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_sundering_magic_attacks_ammo_type_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_toxic_sludge_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_toxic_sludge_magic_attacks_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_virulent_poison_attacks_ammo_type_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_warpflame_arcane_fire_attacks_ammo_type_arcane_fire	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_all_weakened_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_ranged_shieldbreaker_attacks	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_contact_ranged_suppressed	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ranged_ammo_type_anti_infantry	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ranged_ammo_type_anti_large	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ranged_ammo_type_explosive	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_ranged_ammo_type_multi	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_infantry	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_infantry_arcane_fire	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_infantry_flaming	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_infantry_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_infantry_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_large	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_large_arcane_fire	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_large_flaming	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_large_magic	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_anti_large_poison	False
ovn_dk_art_bone_throwers	nanu_dynamic_ror_scripted_ammo_type_arcane_fire	False
