vortex_key	change_max_angle	contact_effect	damage	damage_ap	duration	expansion_speed	goal_radius	infinite_height	move_change_freq	movement_speed	start_radius	ignition_amount	is_magical	composite_scene	detonation_force	launch_source	building_collision	launch_vfx	height_off_ground	delay	num_vortexes	composite_scene_blood	affects_allies	launch_source_offset	composite_scene_group	delay_between_vortexes	is_spell	shape	start_height	goal_height	affects_enemies	follow_target
#battle_vortexs_tables;19;db/battle_vortexs_tables/!!!!!!!double_projectile_velocity_compat_!!_nanu_dynamic_rors
nanu_dynamic_ror_naphtha_large	0		1	0	5.0000	60.0000	5.0000	false	0.0000	0.0000	5.0000	25.0000	false	composite_scene\spells_and_abilities\empty.csc	0.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
nanu_dynamic_ror_naphtha_medium	0		1	0	5.0000	60.0000	4.0000	false	0.0000	0.0000	4.0000	25.0000	false	composite_scene\spells_and_abilities\empty.csc	0.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
nanu_dynamic_ror_naphtha_small	0		1	0	5.0000	60.0000	3.0000	false	0.0000	0.0000	3.0000	25.0000	false	composite_scene\spells_and_abilities\empty.csc	0.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
nanu_unit_ability_arcane_blast	0	nanu_unit_contact_exposed	36	12	1.0000	12.0000	12.0000	false	0.0000	0.0000	0.1000	0.0000	true	composite_scene\spells_and_abilities\wh3_dlc24_ability_lampreys_bite.csc	500.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
nanu_unit_ability_blightboil_self	0		30	10	1.0000	25.0000	25.0000	false	0.0000	0.0000	0.1000	0.0000	true	composite_scene\spells_and_abilities\wh3_main_nurgle_pestilent_pustule.csc	200.0000	target_centre	1.ignore		0.0000	6.0000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_arcane_medium	0	nanu_unit_contact_exposed	11	3	3.0000	20.0000	6.0000	false	0.0000	0.0000	2.0000	0.0000	true	composite_scene/spells_and_abilities/nanu_vortex_explosion_magic___01.csc	100.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_arcane_small	0	nanu_unit_contact_exposed	11	3	3.0000	20.0000	2.0000	false	0.0000	0.0000	2.0000	0.0000	true	composite_scene\spells_and_abilities\wh3_dlc24_frog_broth_death_explosion.csc	50.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_daemonic_wrath_large	270	nanu_unit_contact_searing	2	7	5.0000	10.0000	3.0000	false	0.0000	0.1000	3.0000	1.0000	true	composite_scene/spells_and_abilities/wh3_dlc23_burning_wrath_vortex.csc	200.0000	target_centre	1.ignore		0.0000	0.1000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_daemonic_wrath_small	0	nanu_unit_contact_searing	11	3	3.0000	20.0000	2.0000	false	0.0000	0.0000	2.0000	1.0000	true	composite_scene/spells_and_abilities/wh3_dlc26_kho_ability_bloodstorm.csc	50.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_flaming_large	0	nanu_unit_contact_searing	7	2	3.0000	20.0000	7.0000	false	0.0000	0.0000	7.0000	1.0000	true	composite_scene\spells_and_abilities\wh3_dlc26_unit_passive_hellraiser.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_flaming_medium	0	nanu_unit_contact_searing	7	2	3.0000	20.0000	4.0000	false	0.0000	0.0000	4.0000	1.0000	true	composite_scene\spells_and_abilities\wh3_dlc26_unit_passive_hellraiser_small.csc	100.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_flaming_small	0	nanu_unit_contact_searing	7	2	3.0000	20.0000	2.0000	false	0.0000	0.0000	2.0000	1.0000	true	composite_scene/spells_and_abilities/nanu_vortex_explosion_flaming_01.csc	50.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_frozen_tempest	270	nanu_unit_contact_freezing	7	2	5.0000	-20.0000	3.0000	false	0.0100	2.0000	3.0000	0.0000	true	composite_scene\spells_and_abilities\wh3_dlc24_cursed_cauldron_mini_vortex.csc	200.0000	target_centre	1.ignore		0.0000	0.1000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_gaseous_large	0	nanu_unit_contact_potent_poison	14	7	1.0000	20.0000	7.0000	false	0.0000	0.0000	7.0000	0.0000	true	composite_scene/spells_and_abilities/wh3_dlc26_acid_vomit_explosion_blood.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_gaseous_medium	0	nanu_unit_contact_potent_poison	14	7	1.0000	20.0000	4.0000	false	0.0000	0.0000	4.0000	0.0000	true	composite_scene/spells_and_abilities/wh3_dlc26_acid_vomit_explosion.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
nanu_unit_ability_death_explosion_gaseous_small	0	nanu_unit_contact_potent_poison	14	7	1.0000	20.0000	2.0000	false	0.0000	0.0000	2.0000	0.0000	true	composite_scene/spells_and_abilities/nanu_vortex_explosion_green___01.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
