vortex_key	change_max_angle	contact_effect	damage	damage_ap	duration	expansion_speed	goal_radius	infinite_height	move_change_freq	movement_speed	start_radius	ignition_amount	is_magical	composite_scene	detonation_force	launch_source	building_collision	launch_vfx	height_off_ground	delay	num_vortexes	composite_scene_blood	affects_allies	launch_source_offset	composite_scene_group	delay_between_vortexes	is_spell	shape	start_height	goal_height	affects_enemies	follow_target
#battle_vortexs_tables;19;db/battle_vortexs_tables/!!!!!!!double_projectile_velocity_compat_ghs_great_harmony
acorns_of_the_oak_of_ages_ming	0	wh_dlc05_spell_life_awakening_of_the_wood	0	10	1.0000	15.0000	15.0000	false	0.0000	0.0000	1.0000	0.0000	true	composite_scene\spells_and_abilities\acorn_oak_of_ages.csc	200.0000	target_centre	1.ignore		0.0000	1.6000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
arkhan_abilities_death_storm	0		30	40	6.0000	30.0000	8.0000	false	0.0000	15.0000	8.0000	0.0000	true	composite_scene/spells_and_abilities/wind_of_death.csc	30.0000	target_near_edge	1.ignore		0.0000	0.0000	1		false	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
deliverance_of_itza_ming	0		30	10	1.0000	25.0000	15.0000	true	0.0000	0.0000	0.1000	0.0000	true	composite_scene\spells_and_abilities\wh2_dlc12_deliverance_of_itza_level1.csc	225.0000	target_centre	1.ignore		0.0000	4.5000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
ghs_def_armour_hydra_head	0	wh2_main_unit_contact_witch_elf_poison	10	0	1.0000	15.0000	15.0000	false	0.0000	0.0000	0.1000	0.0000	true	composite_scene\spells_and_abilities\wh2_main_abilities_dark_conduit.csc	200.0000	target_centre	1.ignore		0.0000	0.8000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
ghs_def_black_ark_dark_conduit	0	wh2_main_unit_contact_witch_elf_poison	0	40	1.0000	25.0000	25.0000	false	0.0000	0.0000	0.1000	0.0000	true	composite_scene\spells_and_abilities\wh2_main_abilities_dark_conduit.csc	200.0000	target_centre	1.ignore		0.0000	0.8000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
ghs_lzd_annihilation_thunder	0		0	30	10.0000	-15.0000	8.0000	false	0.0000	8.0000	8.0000	0.0000	true	composite_scene/spells_and_abilities/ghs_lzd_annihilation_thunder.csc	70.0000	target_near_edge	1.ignore		0.0000	2.0000	1		false	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
khalida_abilities_barrage_of_the_legion	0	wh_dlc06_unit_contact_sundered_armour	50	25	6.0000	30.0000	7.0000	false	0.0000	7.0000	7.0000	0.0000	true	composite_scene\spells_and_abilities\wh2_dlc09_abilities_barrage_of_legion.csc	30.0000	target_near_edge	1.ignore		0.0000	0.0000	1		false	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
khatep_item_bound_arnizipals_black_horror	0	wh_dlc08_unit_contact_frostbite	6	6	25.0000	-30.0000	10.0000	false	0.0000	7.0000	10.0000	0.0000	true	composite_scene/spells_and_abilities/black_horror.csc	100.0000	target_near_edge	1.ignore		0.0000	1.5000	1		false	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
kho_blood_magic_brass_fortress	120	wh2_dlc11_unit_contact_disrupted	0	5	15.0000	-15.0000	15.0000	true	1.0000	0.0000	15.0000	0.0000	true	composite_scene/spells_and_abilities/kho_blood_magic_brass_fortress.csc	60.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
kho_blood_magic_brass_fortress_upgraded	120	wh2_dlc11_unit_contact_disrupted	0	10	15.0000	-15.0000	15.0000	true	1.0000	0.0000	15.0000	0.0000	true	composite_scene/spells_and_abilities/kho_blood_magic_brass_fortress.csc	60.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
kho_blood_magic_khorne_foot	0	wh2_dlc11_unit_contact_monstrous_impact	30	15	1.0000	20.0000	20.0000	false	0.0000	0.0000	0.1000	0.0000	true	composite_scene/spells_and_abilities/kho_blood_magic_khorne_foot.csc	200.0000	target_centre	1.ignore		0.0000	1.6000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
kho_blood_magic_khorne_foot_upgraded	0	wh2_dlc11_unit_contact_monstrous_impact	50	20	1.0000	20.0000	20.0000	false	0.0000	0.0000	0.1000	0.0000	true	composite_scene/spells_and_abilities/kho_blood_magic_khorne_foot.csc	200.0000	target_centre	1.ignore		0.0000	1.6000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
kho_blood_magic_khornesword	0		15	20	2.0000	40.0000	4.0000	false	0.0000	40.0000	4.0000	10.0000	false	composite_scene/spells_and_abilities/kho_blood_magic_khosword.csc	40.0000	target_near_edge	1.ignore		0.0000	1.0000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
kho_blood_magic_khornesword_upgraded	0		15	30	2.0000	40.0000	4.0000	false	0.0000	40.0000	4.0000	10.0000	false	composite_scene/spells_and_abilities/kho_blood_magic_khosword.csc	40.0000	target_near_edge	1.ignore		0.0000	1.0000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
kho_blood_magic_sla_breath	0	wh2_main_unit_contact_witch_elf_poison	20	0	1.5000	6.0000	9.0000	false	0.0000	25.0000	0.1000	10.0000	true	composite_scene/spells_and_abilities/kho_blood_magic_sla_breath.csc	210.0000	target_near_edge	1.ignore		0.0000	0.0000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
kho_blood_magic_sla_breath_upgraded	0	wh2_main_unit_contact_witch_elf_poison	20	10	1.5000	6.0000	9.0000	false	0.0000	25.0000	0.1000	10.0000	true	composite_scene/spells_and_abilities/kho_blood_magic_sla_breath.csc	210.0000	target_near_edge	1.ignore		0.0000	0.0000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
