key	ui_sound_event	icon_name
#projectile_shot_type_displays_tables;1;db/projectile_shot_type_displays_tables/!!!!!!!double_projectile_velocity_compat_!TW_Millennium_Public
twm_emp_artillery_armor_piercing_shot	UI_BAT_SABL_Generic_Enable	twm_emp_artillery_armor_piercing_shot
twm_emp_artillery_explosive_shell	UI_BAT_SABL_Generic_Enable	twm_emp_artillery_explosive_shell
twm_emp_artillery_incendary_shell	UI_BAT_SABL_Generic_Enable	twm_emp_artillery_incendary_shell
twm_emp_artillery_poison_gas_canister	UI_BAT_SABL_Generic_Enable	twm_emp_artillery_poison_gas_canister
twm_emp_artillery_shrapnell_shell	UI_BAT_SABL_Generic_Enable	twm_emp_artillery_shrapnell_shell
twm_emp_artillery_smoke_shell	UI_BAT_SABL_Generic_Enable	twm_emp_artillery_smoke_shell
twm_emp_rocket_ap	UI_BAT_SABL_Generic_Enable	twm_emp_rocket_ap
twm_emp_rocket_he	UI_BAT_SABL_Generic_Enable	twm_emp_rocket_he
twm_emp_rocket_poison	UI_BAT_SABL_Generic_Enable	twm_emp_rocket_poison
twm_emp_small_arms_incendary_shot	UI_BAT_SABL_Generic_Enable	0_placeholder_active_abilitiy&spell
twm_emp_small_arms_magic_shot	UI_BAT_SABL_Generic_Enable	0_placeholder_active_abilitiy&spell
twm_emp_small_arms_piercing_shot	UI_BAT_SABL_Generic_Enable	0_placeholder_active_abilitiy&spell
twm_emp_small_arms_standard_shot	UI_BAT_SABL_Generic_Enable	0_placeholder_active_abilitiy&spell
wh_twm_emp_battle_mage_ammo_death	UI_BAT_SABL_Generic_Enable	wh_twm_emp_battle_mage_ammo_death
wh_twm_emp_battle_mage_ammo_fire	UI_BAT_SABL_Generic_Enable	wh_twm_emp_battle_mage_ammo_fire
wh_twm_emp_battle_mage_ammo_light	UI_BAT_SABL_Generic_Enable	wh_twm_emp_battle_mage_ammo_light
wh_twm_emp_battle_mage_ammo_metal	UI_BAT_SABL_Generic_Enable	wh_twm_emp_battle_mage_ammo_metal
wh_twm_emp_battle_mage_ammo_thunder	UI_BAT_SABL_Generic_Enable	wh_twm_emp_battle_mage_ammo_thunder
