key	ui_sound_event	icon_name
#projectile_shot_type_displays_tables;1;db/projectile_shot_type_displays_tables/!!!!!!!double_projectile_velocity_compat_snek_guns_of_the_empire		
snek_empire_cannon	UI_BAT_SABL_Generic_Enable	snek_empire_cannon
snek_empire_cannister	UI_BAT_SABL_Generic_Enable	snek_empire_cannister
snek_empire_flaming	UI_BAT_SABL_Generic_Enable	snek_empire_flaming
snek_empire_explosive	UI_BAT_SABL_Generic_Enable	snek_empire_explosive
snek_emp_bombard_shell_shock	UI_BAT_SABL_Generic_Enable	snek_emp_bombard_fire
snek_emp_bombard_shell_direct	UI_BAT_SABL_Generic_Enable	snek_emp_bombard_low
snek_emp_bombard_shell_indirect	UI_BAT_SABL_Generic_Enable	snek_emp_bombard_high
snek_empire_chain	UI_BAT_SABL_Generic_Enable	snek_empire_chain
snek_emp_art_landship_cannon_ball	UI_BAT_SABL_Generic_Enable	snek_emp_art_landship_cannon_ball
snek_emp_gote_inf_leadbelchers_shot	UI_BAT_SABL_Generic_Enable	snek_empire_cannister
snek_emp_gote_inf_leadbelchers	UI_BAT_SABL_Generic_Enable	snek_empire_cannon
snek_emp_gote_inf_bergjaeger	UI_BAT_SABL_Generic_Enable	snek_emp_gote_inf_bergjaeger
snek_emp_gote_inf_bergjaeger_shot	UI_BAT_SABL_Generic_Enable	snek_emp_gote_inf_bergjaeger_shot
