key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_!!!1a_glf_battle_mage_Dante
glf_brt_fay_enchantress_projectile	axe	small_arm_flaming	glf_brt_fay_enchantress_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	250	80	false	false	0.2500	12.0000	80.0000	1.0000	0	0	wh2_hef_moon_dragon_breath		wh_dragon_breath_flame	0.2500	false		5.0000	1	0.0000	10.0000	homing_strong_magical_fast		0.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	2.0000		false	0.7000	0.4000		placeholder
glf_bst_malagor_the_dark_omen_projectile	axe	small_arm_flaming	glf_bst_malagor_the_dark_omen_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	250	80	false	false	0.2500	12.0000	80.0000	1.0000	0	0	wh2_def_black_dragon_breath		wh2_dragon_breath_poison	0.2500	false		5.0000	1	0.0000	10.0000	homing_strong_magical_fast		0.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	2.0000		false	0.7000	0.4000		placeholder
glf_bst_morghur_projectile	axe	small_arm_flaming	glf_bst_morghur_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	250	80	false	false	0.2500	12.0000	80.0000	1.0000	0	0	wh2_main_army_abilities_bolt_of_spite		wh2_main_ability_bolt_of_spite	0.2500	false		5.0000	1	0.0000	10.0000	homing_strong_magical_fast		0.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	2.0000		false	0.7000	0.4000		placeholder
glf_chs_lord_of_change_projectile	axe	small_arm_flaming	glf_chs_lord_of_change_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	250	80	false	false	0.2500	12.0000	80.0000	1.0000	0	0	glf_mage_lord_metal_projectile		wh_magic_piercing_bolts_of_burning	0.2500	false		5.0000	1	0.0000	10.0000	homing_strong_magical_fast		0.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	2.0000		false	0.7000	0.4000		placeholder
glf_cst_cylostra_projectile	axe	small_arm_flaming	glf_cst_cylostra_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	250	80	false	false	0.2500	12.0000	80.0000	1.0000	0	0	wh2_dlc13_character_ability_ishas_rain		wh2_dlc13_ability_ishas_rain	0.2500	false		5.0000	1	0.0000	10.0000	homing_strong_magical_fast		0.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	1.0000		false	0.7000	0.4000		placeholder
glf_cth_iron_dragon_projectile	axe	small_arm_flaming	glf_cth_iron_dragon_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	300	140	false	false	0.2500	12.0000	80.0000	1.0000	0	0	glf_mage_lord_metal_projectile		wh_magic_piercing_bolts_of_burning	0.2500	false		5.0000	1	0.0000	10.0000	homing_strong_magical_fast		0.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	2.0000		false	0.7000	0.4000		placeholder
glf_cth_storm_dragon_projectile	axe	small_arm_flaming	glf_cth_storm_dragon_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	300	140	false	false	0.2500	12.0000	80.0000	1.0000	0	0	glf_mage_lord_yin_projectile		wh2_dlc16_arrow_talon_of_dusk	0.2500	false		5.0000	1	0.0000	10.0000	homing_strong_magical_fast		0.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	2.0000		false	0.7000	0.4000		placeholder
glf_dae_daemon_prince_tzeentch_MP_projectile	axe	small_arm_flaming	glf_dae_daemon_prince_tzeentch_MP_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	250	80	false	false	0.2500	12.0000	80.0000	1.0000	0	0	wh3_main_army_abilities_storm_of_fire		wh3_main_army_abilities_storm_of_fire	0.2500	false	wh3_main_unit_contact_warpflame	5.0000	1	0.0000	10.0000	homing_strong_magical_fast		1.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	2.0000		false	0.7000	0.4000		placeholder
glf_def_morathi_projectile	axe	small_arm_flaming	glf_def_morathi_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	250	80	false	false	0.2500	12.0000	80.0000	1.0000	0	0	glf_mage_lord_dark_projectile		wh2_main_ability_volley_of_dark_arrows	0.2500	false		5.0000	1	0.0000	10.0000	homing_strong_magical_fast		0.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	2.0000		false	0.7000	0.4000		placeholder
glf_emp_balthasar_gelt_projectile	axe	small_arm_flaming	glf_emp_balthasar_gelt_projectile	none	1	low	180	0	88	120.0	10.0000	0.0000	250	80	false	false	0.2500	12.0000	80.0000	1.0000	0	0	glf_mage_lord_metal_projectile		wh_magic_searing_doom	0.2500	false		5.0000	1	0.0000	10.0000	homing_strong_magical_fast		0.0000	true	true	true	45	medium_3	300	false	false	false	true	1	false	false	false	true	2.0000		false	0.7000	0.4000		placeholder
