key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_!!!1a_glf_unit_expansion
glf_brt_bolt_thrower_bolt	artillery	artillery_default		none	1	low	340	8	40	140.0	30.0000	0.0000	40	180	false	false	0.1000	13.0000	265.0000	2.9000	0	50	glf_brt_bolt_thrower_bolt		wh_bolt_thrower	-1.0000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	large_3	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.0000	0.4000		placeholder
glf_brt_cattle_trebuchet_projectile	artillery	artillery_default	glf_brt_cattle_trebuchet_explosion	axe_spin	1	dual_low_fixed	440	50	60	140.0	10.0000	0.0000	200	0	false	false	0.2000	20.0000	340.0000	90.0000	0	0	wh_brt_carcass_tower		wh2_catapult_plagueclaw	0.5000	true	wh_main_unit_contact_poison	-1.0000	1	0.0000	120.0000			0.0000	false	true	true	52	high	700	false	false	false	false	1	false	false	true	true	1.5000		false	0.0000	0.4000		placeholder
glf_brt_crossbowmen	arrow	small_arm_default		none	1	dual_low_fixed	145	0	88	90.0	10.0000	0.0000	14	10	false	false	0.1000	13.0000	120.0000	5.1000	0	0	wh_emp_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
glf_brt_herrimault	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	90.0	10.0000	0.0000	17	4	false	false	0.1000	10.0000	120.0000	4.3000	0	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
glf_brt_jean_claude_sartre_bowmen_ror_projectile	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	90.0	10.0000	0.0000	13	6	false	false	0.1000	11.0000	120.0000	5.1000	0	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
glf_brt_longbowmen	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	90.0	10.0000	0.0000	18	4	false	false	0.1000	13.0000	120.0000	3.7000	0	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
glf_chd_infernal_guard_flamethrower	musket	artillery_flammable	glf_chd_infernal_guard_flamethrower	none	1	low	80	0	55	60.0	10.0000	0.0000	9	5	false	false	1.0000	9.0000	40.0000	1.4000	0	0	wh_dwf_drakegun_flame		wh_drakegun_flame	0.0000	false	wh_main_unit_contact_morale	3.0000	4	0.3500	40.0000			1.0000	false	true	true	45	low	88	true	true	false	false	1	false	false	false	true	1.5000		false	1.4000	0.4000		placeholder
glf_chd_infernal_guard_machinegun_projectile	musket	small_arm_default		none	1	low	145	0	88	200.0	10.0000	0.0000	2	7	false	false	0.0500	5.0000	70.0000	2.7000	0	0	glf_chd_infernal_guard_machinegun_projectile		wh2_dlc12_bullet_ratling_gun	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	18	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.5000		false	0.4200	0.4000		placeholder
glf_cth_great_bastion_guard_projectile	musket	small_arm_default		none	1	low	160	0	88	200.0	10.0000	0.0000	5	17	false	false	0.0500	13.0000	100.0000	1.8000	0	0	wh_emp_rifle_bullet		wh2_bullet_multi_impact_large	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
glf_cth_jade_chariot_crossbow	arrow	small_arm_default		none	1	dual_low_fixed	145	0	88	150.0	30.0000	1.7000	15	35	false	false	0.1000	7.0000	100.0000	2.0000	0	0	wh3_main_cth_celestial_guard_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	medium_2	300	false	false	false	false	2	false	false	false	false	0.2500		false	0.9300	0.4000		placeholder
glf_cth_jade_warriors_javelin_projectile	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	80.0	10.0000	0.0000	18	7	false	false	0.1000	10.0000	40.0000	2.0000	0	12	glf_cth_jade_warriors_javelin_projectile		wh_javelin	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	50	low	150	false	false	false	false	1	false	false	false	true	0.2500		false	1.0500	0.4000		placeholder
glf_cth_mortar	artillery	artillery_explosive	glf_cth_mortar	axe_spin	1	fixed	380	60	56	136.0	10.0000	0.0000	100	30	false	false	0.1600	19.0000	300.0000	380.0000	0	0	wh_emp_mortar		wh_mortar_cannonball	0.2000	true		-1.0000	1	0.0000	50.0000			1.0000	false	true	true	50	low	600	false	false	false	false	1	false	false	true	true	1.5000		false	0.0000	0.4000		placeholder
glf_cth_terracotta_sentinel_giant_bow_projectile	artillery	artillery_default	wh3_dlc24_saytang_projectile_explosion	none	1	low	350	10	88	190.0	50.0000	0.0000	90	360	false	false	1.0000	11.0000	325.0000	4.0000	0	200	wh3_dlc24_saytang_projectile_arrow		wh3_dlc24_cth_saytang_projectile	0.7000	true		-1.0000	1	0.0000	350.0000			0.0000	true	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.4400	0.4000		placeholder
glf_def_human_slaves_projectile	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	80.0	10.0000	0.0000	16	4	false	false	0.1000	8.0000	40.0000	2.0000	0	8	wh_chs_javelin		wh_javelin	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	50	low	150	false	false	false	false	1	false	false	false	true	0.2500		false	1.0500	0.4000		placeholder
glf_def_rimeshards_ror_projectile	arrow	small_arm_default		none	2	dual_low_fixed	145	0	88	90.0	10.0000	1.6500	3	11	false	false	0.1000	14.0000	90.0000	3.4000	0	0	wh2_main_def_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
glf_def_shades_handbow_projectile	arrow	small_arm_default		none	2	low	70	0	88	90.0	10.0000	2.8000	9	6	false	false	0.1000	10.0000	40.0000	4.0000	0	0	wh2_main_def_handbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	170	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
glf_dwf_machine_gunner_projectile	musket	small_arm_default		none	1	low	145	0	88	200.0	10.0000	0.0000	2	6	false	false	0.0500	5.0000	70.0000	2.7000	0	0	glf_dwf_machine_gunner_bullet		wh2_dlc12_bullet_ratling_gun	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	18	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
glf_dwf_raiders_projectile	javelin	small_arm_default		none	1	dual_low_fixed	80	0	75	92.0	10.0000	0.0000	18	7	false	false	0.1000	8.0000	50.0000	2.3000	0	15	glf_dwf_raiders_projectile		wh_javelin	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9100	0.4000		placeholder
glf_dwf_sniper_projectile	musket	small_arm_default		none	1	low	220	0	88	200.0	10.0000	0.0000	6	30	false	false	0.0500	12.0000	150.0000	0.6000	0	0	glf_dwf_sniper_bullet		wh2_dlc12_warplock_jezzail_bullet	-1.0000	false	wh2_dlc09_unit_contact_shieldbreaker	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium_1	600	false	false	false	false	1	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
