key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_!!!laf_dwarfs
laf_copter_drakefire_shot	artillery	artillery_flammable		none	1	low	100	0	45	200.0	10.0000	0.0000	14	36	false	false	0.5000	8.0000	85.0000	2.4000	0	10	wh_dwf_copter_brimstone_shot		wh_bullet	0.5000	false		-1.0000	1	0.0000	20.0000			1.0000	false	true	true	45	low	180	false	true	false	false	1	false	false	true	true	1.5000		false	0.4200	0.4000		placeholder
laf_crank_gun_bullet	musket	small_arm_default		none	1	low	145	0	88	200.0	20.0000	0.0000	6	2	false	false	0.0500	2.0000	60.0000	5.5000	0	0	laf_dwf_crank_gun		wh3_dlc25_emp_rifle_repeater_bullet	-1.0000	false	laf_unit_contact_crank_gun_suppressive_fire	-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	medium	300	false	false	false	false	14	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
laf_crossbow_bolt_rangers	arrow	small_arm_default		none	1	dual_low_fixed	140	0	88	90.0	10.0000	0.0000	18	6	false	false	0.1000	13.0000	110.0000	4.7000	0	0	wh_dwf_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.9300	0.4000		placeholder
laf_drakefire_pistol_bullet	musket	small_arm_default	wh_main_dwf_drakegun_explosion	none	1	low	120	0	88	180.0	10.0000	0.0000	4	14	false	false	0.0500	8.0000	70.0000	1.6500	0	0	laf_drakefire_pistol_bullet		wh_drakegun_flame	0.0000	false	wh_main_unit_contact_morale	-1.0000	1	0.0000	5.0000			1.0000	false	true	true	45	low	300	false	false	false	true	2	false	false	false	true	2.0000		false	0.4200	0.4000		placeholder
laf_dwf_flame_cannon_flame	artillery	artillery_canister	wh_main_dwf_flamecannon_explosion	none	3	fixed	280	7	35	86.0	20.0000	10.0000	20	10	false	false	1.0000	16.0000	150.0000	9.9000	0	0	wh_dwf_flame_cannon_blast		wh_flame_cannon_flame	1.3000	true	wh_main_unit_contact_morale	10.0000	1	0.0000	40.0000			1.0000	false	true	true	23	very_low	350	false	false	false	true	6	false	false	false	true	1.5000		false	0.0000	0.4000		laf_dwf_fire_rain
laf_dwf_flame_cannon_flame_penetrating	artillery	artillery_canister	wh_main_dwf_flamecannon_explosion	none	3	fixed	280	7	35	86.0	20.0000	10.0000	20	22	false	false	1.0000	16.0000	150.0000	9.9000	0	0	wh_dwf_flame_cannon_blast		wh_flame_cannon_flame	1.3000	true	wh_main_unit_contact_morale	10.0000	1	0.0000	40.0000			1.0000	false	true	true	23	very_low	350	false	false	false	true	6	false	false	false	true	1.5000		false	0.0000	0.4000		laf_dwf_fire_rain
laf_dwf_flame_cannon_flame_seeking	artillery	artillery_canister	wh_main_dwf_flamecannon_explosion	none	3	fixed	280	7	35	86.0	20.0000	10.0000	20	10	false	false	1.0000	16.0000	150.0000	9.9000	0	25	wh_dwf_flame_cannon_blast		wh_flame_cannon_flame	1.3000	true	wh_main_unit_contact_morale	10.0000	1	0.0000	40.0000	homing_medium_artillery_slow	hellcannon	1.0000	false	true	true	23	very_low	350	false	false	false	true	6	false	false	false	true	1.5000		false	0.0000	0.4000		laf_dwf_fire_rain
laf_dwf_flame_cannon_flaming	artillery	artillery_canister	wh2_dlc17_dwf_rune_of_burning_flame_cannon	none	3	fixed	280	7	35	86.0	20.0000	10.0000	20	10	false	false	1.0000	16.0000	150.0000	9.9000	0	0	wh_dwf_flame_cannon_blast		wh_flame_cannon_flame	1.3000	true	wh_main_unit_contact_morale	10.0000	1	0.0000	40.0000			1.0000	false	true	true	23	very_low	350	false	false	false	true	6	false	false	false	true	1.5000		false	0.0000	0.4000		laf_dwf_fire_rain
laf_dwf_hero_blasting_caps_shrapnel	misc	explosives	laf_dwf_hero_blasting_caps_shrapnel_explosion	grenade_spin	1	dual_low_fixed	30	2	88	56.0	10.0000	0.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	0	laf_dwf_blasting_caps		wh_miners_blasting_charge	-1.0000	true		-1.0000	1	0.0000	10.0000			1.0000	false	false	true	55	low	-1	false	false	true	false	1	false	false	false	true	4.5000		false	1.5000	0.4000		placeholder
