key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_!TW_Millennium_Public
wh2_cst_rifle_deck_gunner_bullet_ror	misc	small_arm_default		none	1	low	245	0	88	200.0	10.0000	0.0000	6	30	false	false	0.0500	11.0000	145.0000	1.8000	0	0	wh2_dlc11_cst_deck_gunner_ror_bullet		wh2_dlc11_cst_Deck_Gun_RoR_Magical	-1.0000	false	wh_dlc06_unit_contact_discouraged	-1.0000	1	0.0000	6.0000			0.0000	true	true	true	45	medium_1	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
wh2_dlc10_hef_longbow_arrow_everqueen_court_guard	misc	small_arm_default		none	1	dual_low_fixed	180	0	88	110.0	10.0000	0.0000	4	18	false	false	0.1000	10.0000	120.0000	3.0000	0	0	wh2_dlc10_abilities_everqueen_court_guard		wh2_dlc10_bow_arrow_hef_SOA_magical	-1.0000	false		-1.0000	1	0.0000	6.0000			1.0000	true	true	true	45	very_low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
wh2_dlc10_hef_longbow_arrow_handmaiden	misc	small_arm_default		none	1	dual_low_fixed	180	0	88	150.0	10.0000	0.0000	55	125	false	false	0.1000	9.0000	150.0000	1.0000	0	0	wh2_dlc10_abilities_sisterofavalorn		wh_bow_arrow_magical	0.1000	false		-1.0000	1	0.0000	5.0000			1.0000	true	true	true	45	large_2	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.5600	0.4000		placeholder
wh2_dlc10_hef_longbow_arrow_sisters	misc	small_arm_default		none	1	dual_low_fixed	180	0	88	110.0	10.0000	0.0000	4	18	false	false	0.1000	10.0000	120.0000	3.0000	0	0	wh2_dlc10_abilities_sisterofavalorn		wh2_dlc10_bow_arrow_hef_SOA_magical	-1.0000	false		-1.0000	1	0.0000	6.0000			1.0000	true	true	true	45	very_low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
wh2_dlc12_skv_ikit_warpfire	misc	artillery_flammable	wh2_main_skv_warpfire_ikit	none	1	low	80	0	55	60.0	30.0000	0.0000	48	16	false	false	2.0000	12.0000	40.0000	1.7000	0	0	wh2_main_skv_warpfire		wh2_dlc12_ikit_warpfiregun_flame	-1.0000	false	wh_main_unit_contact_morale	3.0000	4	0.5000	40.0000			1.0000	true	true	true	45	low	85	true	true	false	false	1	false	false	false	true	0.5000		false	1.4000	0.4000		placeholder
wh2_dlc12_skv_ikit_warpfire_alt	misc	artillery_flammable	wh2_main_skv_warpfire_ikit	none	1	low	100	0	55	60.0	30.0000	0.0000	48	20	false	false	2.0000	12.0000	40.0000	1.7000	0	50	wh2_main_skv_warpfire		wh2_dlc12_ikit_warpfiregun_flame	-1.0000	false	wh_main_unit_contact_morale	3.0000	4	0.5000	40.0000			1.0000	true	true	true	45	low	135	true	true	false	false	1	false	false	false	true	0.5000		false	1.4000	0.4000		placeholder
wh2_dlc12_skv_warpfire_alt	misc	artillery_flammable	wh2_main_skv_warpfire	none	1	low	100	0	55	60.0	10.0000	0.0000	8	3	false	false	1.0000	12.0000	40.0000	1.7000	0	8	wh2_main_skv_warpfire		wh2_warpfiregun_flame	-1.0000	false	wh_main_unit_contact_morale	3.0000	4	0.5000	40.0000			1.0000	true	true	true	45	low	135	true	true	false	false	1	false	false	false	true	0.5000		false	1.4000	0.4000		placeholder
wh2_dlc17_army_abilities_xapatis_sanctum	misc	small_arm_default		none	3	low	200	0	75	160.0	100.0000	3.0000	44	132	false	false	0.2500	6.0000	100.0000	0.2000	0	0	wh2_dlc17_lzd_blowpipe_dart_hero		wh2_dlc17_ability_xapatis_sanctum	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	true	true	true	50	large_3	300	false	false	false	false	3	false	false	false	false	1.0000		false	0.7000	0.4000		placeholder
wh2_dlc17_dwf_master_engineer_rifle_bullet_shotgun	misc	artillery_default		none	5	low	55	0	88	220.0	70.0000	8.0000	5	70	false	false	0.1000	11.0000	40.0000	2.0000	0	0	wh_dwf_rifle_bullet		wh_bullet_multi_impact	2.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	25.0000			0.0000	false	true	true	45	medium	100	false	false	false	false	1	false	false	true	false	0.5000		false	2.0000	0.4000		placeholder
