key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_@ror_series_compilation																																																									
ror_beast_ungrol_arrow	arrow	small_arm_default		none	1	dual_low_fixed	115	0	88	80.0000	10.0000	0.0000	16	1	false	false	0.1000	8.0000	50.0000	1.0000	0	0	wh_bst_ungor_arrow		wh_bow_arrow_normal	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	45	very_low	-1	false	false	false	false	1	false	false	false	true	1.0000		false	1.0500	0.4000		placeholder
deco_warriors_horde_crossbow	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	90.0000	10.0000	0.0000	18	6	false	false	0.1000	13.0000	110.0000	4.7000	0	0	wh2_dlc15_hef_arrow_fire		wh_bow_arrow_flaming	-1.0000	false	wh2_dlc12_unit_contact_flammable	-1.0000	1	0.0000	3.0000			1.0000	false	true	true	45	very_low	300	false	false	false	true	1	false	false	false	false	0.2500		false	0.9300	0.4000		placeholder
deco_rimeshards_ranged	arrow	small_arm_default		none	2	dual_low_fixed	175	0	88	90.0000	10.0000	1.6500	4	12	false	false	0.1000	14.0000	90.0000	3.4000	0	0	wh2_main_def_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	false	0.2500		false	0.9300	0.4000		placeholder
deco_harboth	arrow	small_arm_default		none	1	dual_low_fixed	140	0	88	80.0000	10.0000	0.0000	18	6	false	false	0.1000	10.0000	85.0000	4.1000	0	0	wh_grn_orc_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	1.0500	0.4000		placeholder
ror_we_elrod_arrow	arrow	small_arm_flaming		none	1	dual_low_fixed	170	0	88	110.0000	10.0000	0.0000	2	20	false	false	0.1000	11.0000	120.0000	3.4000	0	0	wh_dlc05_wef_starfire_arrow		wh_bow_arrow_magical	-1.0000	false		-1.0000	1	0.0000	4.0000			1.0000	true	true	true	35	very_low	300	false	false	false	true	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
roy_lzd_blowpipe_canopy_dart_poison	arrow	small_arm_poison		none	1	low	90	0	80	116.0000	30.0000	0.0000	10	3	false	false	0.1000	6.0000	70.0000	3.1000	5	0	wh2_lzd_blowpipe_dart		wh2_dart_normal	-1.0000	false	roy_unit_phase_contact_spears_poison_blind	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	160	false	false	false	false	1	false	false	false	false	1.0000		false	0.7400	0.4000		placeholder
roy_lzd_blowpipe_canopy_dart	arrow	small_arm_default		none	1	low	85	0	75	112.0000	10.0000	0.0000	9	5	false	false	0.1000	6.0000	65.0000	3.4000	5	0	wh2_lzd_blowpipe_dart		wh2_dart_normal	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	150	false	false	false	false	1	false	false	false	false	1.0000		false	0.7500	0.4000		placeholder
roy_lzd_blowpipe_canopy_dart_daemonbane	arrow	small_arm_default	wh2_dlc17_lzd_fireblood_explosion	false	1	low	85	0	75	112.0000	10.0000	0.0000	9	4	false	false	0.1000	6.0000	65.0000	3.4000	5	0	wh2_lzd_blowpipe_daemonbane		wh2_dart_normal	-1.0000	false		-1.0000	1	0.0000	1.0000	homing_strong_smallarms		0.0000	false	true	true	50	low	150	false	false	false	false	1	false	false	false	false	1.0000		false	0.7500	0.4000		placeholder
roy_lzd_blowpipe_canopy_dart_fireblood	arrow	small_arm_default		false	1	low	85	0	75	112.0000	10.0000	0.0000	9	4	false	false	0.1000	6.0000	65.0000	3.4000	5	0	wh2_lzd_blowpipe_fireblood		wh2_dart_normal	-1.0000	false	wh2_dlc12_unit_contact_sundered_armour	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	150	false	false	false	false	1	false	false	false	false	1.0000		false	0.7500	0.4000		placeholder
