key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_Bretonnia_Royal_Lake_Guard
driblex_blinding_light	artillery	artillery_default	driblex_blinding_light	none	1	dual_low_fixed	185	0	65	10.0	10.0000	0.0000	15	10	false	false	0.3000	14.0000	120.0000	2.0000	0	0	wh_main_spell_light_shems_burning_gaze		wh_magic_bolt_of_illumination	7.5000	true	bretonnian_lake_guard_contact_effect_enfeebling_light	-1.0000	1	0.0000	50.0000			0.0000	true	true	true	55	high_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
driblex_crossbow_bolt_heavy	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	90.0	10.0000	0.0000	9	24	false	false	0.1000	12.0000	120.0000	5.1000	0	0	wh_emp_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.9300	0.4000		placeholder
driblex_javelin_heavy	artillery	artillery_default		none	1	dual_low_fixed	115	0	88	140.0	20.0000	0.0000	18	52	false	false	0.1000	11.0000	212.0000	6.0000	0	25	wh_brt_javelin_heavy		wh_javelin	-1.0000	false	wh2_dlc09_unit_contact_shieldbreaker	-1.0000	1	0.0000	30.0000			0.0000	true	true	true	50	low	-1	false	false	false	false	1	false	false	true	true	0.2500		false	0.9100	0.4000		placeholder
driblex_lightning_aegis_bombardment	misc	artillery_explosive	driblex_lightning_aegis_bombardment_explosion	shell_spin	1	low	200	0	50	240.0	30.0000	0.0000	0	60	false	false	2.0000	1.0000	75.0000	0.1000	0	0	wh_main_spell_heavens_urannons_thunderbolt		wh_magic_urannons_thunderbolt	2.0000	true		0.8500	1	0.0000	75.0000			0.0000	true	true	false	45	high_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		true	0.3500	0.4000		placeholder
driblex_longbow_arrow	arrow	small_arm_default		none	1	dual_low_fixed	225	0	88	90.0	10.0000	0.0000	20	6	false	false	0.1000	14.0000	120.0000	5.1000	8	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	4.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.9300	0.4000		placeholder
driblex_trebuchet_clustershot_stone	artillery	artillery_canister	driblex_trebuchet_clustershot_stone	axe_spin	25	dual_low_fixed	380	35	60	140.0	10.0000	3.5000	8	45	false	false	0.5000	14.0000	340.0000	90.0000	0	0	wh_brt_trebuchet_stone_cluster		wh_catapult_rock_normal	-1.0000	true		-1.0000	1	0.0000	20.0000			0.0000	false	true	true	52	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
driblex_trebuchet_starbreaker	artillery	artillery_default	driblex_trebuchet_starbreaker	none	1	fixed	420	50	85	1.0	5.0000	0.0000	70	150	false	false	1.0000	19.0000	380.0000	3.0000	0	0	wh_brt_trebuchet_starbreaker		wh_magic_comet_of_casandora	0.5000	true		10.0000	1	0.0000	20.0000			1.0000	true	true	false	55	high_magic	-1	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000	driblex_trebuchet_starbreaker_vortex	placeholder
driblex_trebuchet_sunflare	artillery	artillery_canister	driblex_trebuchet_sunflare	axe_spin	5	fixed	420	50	85	4.0	5.0000	15.0000	10	0	false	false	1.0000	19.0000	380.0000	3.0000	0	0	wh3_dlc23_doom_of_hashut		wh2_main_ability_wake_of_fire	0.2000	true	wh_dlc06_unit_contact_flammable	10.0000	1	0.0000	20.0000			1.0000	true	true	true	55	high_magic	-1	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
driblex_trebuchet_sunflare_shrapnel	artillery	artillery_explosive	driblex_trebuchet_sunflare_shrapnel	none	1	fixed	85	30	65	6.0	5.0000	0.0000	10	0	false	false	0.1000	0.0000	175.0000	3.0000	0	0	wh_dwf_flame_cannon_blast		wh2_main_ability_wake_of_fire	0.2000	true	wh_dlc06_unit_contact_blinded	-1.0000	1	0.0000	20.0000			1.0000	true	true	true	55	high_magic	-1	false	true	false	false	1	false	false	true	true	1.0000		false	8.4000	0.4000	driblex_trebuchet_sunflare_ground_fire	placeholder
