key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_Cathay_helblaster
alchemy_shrapnel	misc	explosives	alchemy_shrapnel_explosion	grenade_spin	3	dual_low_fixed	70	0	88	40.0	10.0000	0.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	0	wh_main_unit_abilities_gyrocopter_grenade		wh2_dlc11_ability_pyromaniac	-1.0000	true	confusion	-1.0000	1	0.0000	1.0000			10.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	true	1.0000		false	1.2000	0.4000		placeholder
bastion_alternate	artillery	artillery_canister	bastion_bomb	grenade_spin	1	fixed	480	50	60	240.0	20.0000	0.0000	0	0	false	false	0.1000	24.0000	450.0000	40.0000	0	0	bastion_cannon		wh2_dlc11_queen_bess	0.3000	true	confusion	-1.0000	1	0.0000	350.0000			10.0000	false	false	true	50	low	700	false	false	false	false	1	false	false	false	true	2.0000		false	0.0000	0.8000		bastion_multi_shot
bastion_cannon	artillery	artillery_explosive	bastion_main	grenade_spin	1	fixed	480	50	60	240.0	30.0000	0.0000	72	262	false	false	0.1000	24.0000	450.0000	40.0000	0	0	bastion_cannon_main		wh2_dlc11_queen_bess	0.8000	true	wh2_dlc11_unit_contact_monstrous_impact	-1.0000	1	0.0000	350.0000			1.0000	false	true	true	50	low	700	false	false	false	false	1	false	false	true	true	4.0000		false	0.0000	0.8000		bastion_single_shot
bastion_shrapnel	misc	explosives	bastion_shrapnel_explosion	grenade_spin	3	dual_low_fixed	70	0	88	40.0	10.0000	0.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	0	wh_main_unit_abilities_gyrocopter_grenade		wh2_dlc11_ability_pyromaniac	-1.0000	true	confusion	-1.0000	1	0.0000	1.0000	homing_medium_artillery_glider		10.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	true	1.0000		false	1.2000	0.4000		placeholder
cathay_alchemy_mortar	artillery	artillery_explosive	cathay_alchemy_bomb	axe_spin	1	fixed	380	40	56	136.0	50.0000	0.0000	100	30	false	false	0.1600	15.0000	300.0000	300.0000	0	0	wh_emp_mortar		wh_mortar_cannonball	0.2000	true	confusion	-1.0000	1	0.0000	50.0000			1.0000	false	false	true	50	low	600	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
cathay_bolt	artillery	artillery_default		none	1	low	360	8	45	160.0	40.0000	0.0000	25	140	false	false	0.1000	15.0000	245.0000	4.0000	0	25	wh_dwf_bolt_thrower_bolt		wh2_bolt_thrower_eagle_claw	-1.0000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	large_2	700	false	false	false	false	1	false	false	false	true	1.0000		false	0.0000	0.4000		placeholder
cathay_mortar	artillery	artillery_explosive	cathay_bomb	axe_spin	1	fixed	380	40	56	160.0	20.0000	0.0000	70	35	false	false	0.1600	14.0000	300.0000	300.0000	0	0	wh_emp_mortar		wh_mortar_cannonball	0.2000	true		-1.0000	1	0.0000	50.0000			0.0000	false	false	true	50	low	600	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
iron_hail_spread	artillery	artillery_canister	three_dragons	none	1	low	300	0	25	160.0	40.0000	0.0000	45	110	true	false	0.1000	20.0000	290.0000	3.0000	0	0	three_dragons		wh3_tower_generic_cannonball	0.2000	true		-1.0000	1	0.0000	35.0000			0.0000	false	true	true	45	medium	440	false	false	true	false	3	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
monitor_cannon	artillery	artillery_canister		none	10	low	110	35	88	-1.0000	15.0000	12.0000	12	21	false	false	0.1000	12.0000	50.0000	7.0000	9	0	wh3_dlc25_dwf_grudge_raker_bullet		wh3_dlc25_dwf_thunderbarge_rifle_bullet	1.0000	true	wh2_dlc09_unit_contact_shieldbreaker	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	0	medium	150	false	false	false	false	1	false	false	true	true	1.0000		false	0.4000	0.4000		placeholder
