key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_chd_chaos_dwarfs_airship																																																									
wh3_dlc25_dwf_thunderbarge_bomb_chd_front	misc	artillery_explosive	wh2_dlc11_cst_queen_bess	none	1	low	1	0	5	-1.0000	5.0000	0.0000	200	200	false	true	0.3000	10.0000	2.0000	0.0000	0	0	wh3_dlc25_thunderbarge_bomb_chd		wh_copter_bomb	1.2000	true		-1.0000	1	0.0000	350.0000			0.0000	false	false	true	-50	all	-1	false	false	false	false	1	false	false	true	true	1.0000		false	1.2000	0.4000		placeholder
wh3_dlc25_dwf_thunderbarge_bomb_chd_ror	misc	artillery_explosive	wh3_dlc23_chd_dreadquake_mortar_explosion	none	1	low	1	0	5	-1.0000	5.0000	0.0000	200	200	false	true	0.3000	13.0000	2.0000	0.0000	0	0	wh3_dlc25_thunderbarge_bomb_chd_ror	wh_main_unit_contact_overhead_morale	wh_copter_bomb	1.2000	true		-1.0000	1	0.0000	350.0000			0.0000	false	false	true	-50	all	-1	false	false	false	false	1	false	false	true	true	1.0000		false	1.2000	0.4000	wh3_dlc23_chd_dreadquake_mortar	placeholder
wh3_dlc25_dwf_thunderbarge_cannon_chd	artillery	artillery_default		none	1	low	100	20	40	200.0000	30.0000	0.0000	84	336	true	false	0.3000	11.0000	100.0000	5.0000	0	0	wh_dwf_cannon_ball		wh3_dlc25_thunderbarge_organ_gun	1.2000	true		-1.0000	1	0.0000	400.0000			0.0000	false	true	true	45	very_high	200	false	false	true	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		dwf_cannon_ball
wh3_dlc25_dwf_thunderbarge_cannon_chd_ror	artillery	artillery_flammable	wh3_dlc23_chd_magma_cannon_explosion_chd	none	1	low	200	20	40	200.0000	30.0000	0.0000	220	130	true	false	0.3000	14.0000	100.0000	5.0000	0	0	wh_dwf_cannon_ball		wh3_dlc25_thunderbarge_organ_gun	1.2000	true		-1.0000	1	0.0000	400.0000			0.0000	true	true	true	45	very_low_magic	700	false	false	false	false	1	false	false	true	true	2.0000		false	0.0000	0.4000	wh3_dlc23_chd_magma_cannon	dwf_cannon_ball
wh3_dlc25_dwf_thunderbarge_grudge_raker_chd	musket	small_arm_default		none	4	low	100	5	88	200.0000	10.0000	5.0000	12	26	false	false	0.1000	7.0000	75.0000	2.0000	0	0	wh3_dlc23_chd_blunderbuss		wh3_dlc25_dwf_thunderbarge_rifle_bullet	1.2000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	10.0000			1.0000	false	true	true	45	low	150	false	false	false	false	1	false	false	false	true	0.5000		false	0.4000	0.4000		placeholder
wh3_dlc25_dwf_thunderbarge_grudge_raker_chd_ror	musket	small_arm_default	wh3_dlc23_chd_infernal_castellan_rifle_explosive	none	1	low	160	5	88	200.0000	10.0000	0.0000	32	66	false	false	0.1000	4.0000	125.0000	1.7000	0	0	wh3_dlc23_fireglaive		wh3_dlc23_chd_fireglaive_bullet	0.1000	false	wh_main_unit_contact_morale	-1.0000	1	0.0000	20.0000			1.0000	true	true	true	45	low	200	false	false	false	true	1	false	false	false	true	0.5000		false	0.4000	0.4000		placeholder
wh3_dlc23_chd_dreadquake_mortar_shell_bombardment	misc	artillery_explosive	wh3_dlc23_chd_dreadquake_mortar_explosion	axe_spin	1	fixed	450	0	50	160.0000	30.0000	0.0000	72	262	false	false	0.5000	24.0000	275.0000	50.0000	0	0	wh3_dlc23_dreadquake_projectile		wh3_dlc23_dreadquake_mortar_projectile	1.0000	true	wh2_dlc11_unit_contact_monstrous_impact	-1.0000	1	0.0000	350.0000			0.0000	false	true	true	50	all	700	false	false	false	false	1	false	false	true	true	2.0000		false	0.0000	0.8000	wh3_dlc23_chd_dreadquake_mortar	placeholder
wh3_dlc25_dwf_thunderbarge_bomb_chd_rear_ror	artillery	artillery_explosive	wh2_main_hef_sun_dragon_explosion	none	1	low	1	0	5	100.0000	5.0000	0.0000	65	55	false	false	1.0000	10.0000	3.0000	0.0000	0	0	wh2_hef_sun_dragon_breath		wh2_dlc11_cst_necrofex_colossus_flamethrower_fire	1.7000	false	wh_main_unit_contact_morale	2.0000	1	0.0000	350.0000			0.0000	false	false	true	-50	all	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.9300	0.4000		placeholder
wh3_dlc25_dwf_thunderbarge_bomb_chd_rear	artillery	artillery_explosive	wh_main_dwf_gyrocopter_steamgun_explosion_chd	none	1	low	1	0	5	100.0000	5.0000	0.0000	100	20	false	false	1.0000	14.0000	0.1000	0.0000	0	0	wh_dwf_gyrocopter_steam_shot_chd		wh_steam_gun_steam	1.5000	false	wh_main_unit_contact_morale	2.0000	1	0.0000	350.0000			0.0000	false	false	true	-50	all	-1	false	false	false	false	1	false	false	true	true	1.0000		false	0.9300	0.4000	wh2_dlc13_unit_abilities_emergency_vent	placeholder
