key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_derpy_ksl_tanks
derpy_ksl_akshina_rider	musket	small_arm_default	derpy_tank_ksl_exploding_bullets	none	1	low	145	0	88	320.0	10.0000	0.0000	10	20	false	false	0.0500	4.0000	100.0000	1.8000	0	0	wh3_dlc25_rifle_repeater_trail		wh_bullet	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4000	0.4000		placeholder
derpy_ksl_frostfathers_chassis	artillery	artillery_explosive	derpy_tank_ksl_frost_exp	shell_spin	12	low	200	0	45	300.0	5.0000	3.0000	20	15	false	false	0.5000	20.0000	80.0000	6.0000	0	0	derpy_ksl_tank_steam_shot		wh_steam_gun_steam	1.0000	true	wh_dlc08_unit_contact_frostbite	30.0000	1	0.0000	5.0000	homing_strong_magical_fast_scattered		0.0000	true	true	true	45	very_low	-1	false	false	false	false	2	false	false	false	true	1.5000		false	1.0500	0.4000		placeholder
derpy_ksl_frostfathers_judgement_ror	artillery	artillery_explosive	derpy_tank_ksl_frost_exp_ror	shell_spin	1	low	600	0	45	400.0	30.0000	2.0000	150	300	false	false	0.1000	16.0000	275.0000	8.0000	0	0	derpy_ksl_tank_gatling_cannon_shot		wh_cannon_cannonball_normal	0.3000	true	wh3_dlc24_unit_contact_frozen	30.0000	1	0.0000	340.0000			0.0000	true	true	true	45	very_high_low_entity	-1	false	false	true	false	3	false	false	true	true	2.0000		false	0.0000	0.4000		placeholder
derpy_ksl_strelezka	artillery	artillery_default	derpy_tank_ksl_steam_tank_exploding	shell_spin	1	low	400	0	45	360.0	50.0000	0.0000	80	200	false	false	0.3000	11.0000	320.0000	4.0000	0	0	derpy_ksl_tank_sniper_ball		wh3_dlc25_steam_tank_cannon	0.3000	true		30.0000	1	0.0000	340.0000			0.0000	false	true	true	45	very_high_low_entity	-1	false	false	false	false	1	false	false	true	true	2.0000		false	0.0000	0.4000		placeholder
derpy_ksl_tzargrad	artillery	artillery_explosive	derpy_tank_ksl_frost_exp	shell_spin	5	low	300	0	45	420.0	5.0000	2.0000	35	15	false	false	0.5000	12.0000	80.0000	6.0000	0	0	derpy_ksl_tank_steam_shot		wh_steam_gun_steam	1.0000	true	wh_dlc08_unit_contact_frostbite	30.0000	1	0.0000	5.0000	homing_strong_magical_fast		0.0000	true	true	true	45	very_low	-1	false	false	false	false	1	false	false	false	true	1.5000		false	1.0500	0.4000		placeholder
derpy_ksl_vorpalov	artillery	artillery_explosive	derpy_tank_ksl_triple_cannon_exp	shell_spin	1	low	300	0	35	360.0	50.0000	0.0000	45	150	false	false	0.1000	8.0000	250.0000	5.0000	0	100	derpy_ksl_tank_sniper_ball		wh2_helblaster_bullet_multi_impact_large	0.3000	true	wh_dlc08_unit_contact_frostbite	30.0000	1	0.0000	16.0000			0.0000	true	true	true	45	medium_2	-1	false	false	false	false	1	false	false	true	true	1.2500		false	0.0000	0.4000		placeholder
derpy_ksl_warshed_cannon	artillery	artillery_default		none	1	low	420	10	40	240.0	25.0000	0.0000	160	600	true	false	0.5000	14.0000	275.0000	7.0000	0	25	wh3_ksl_little_grom_cannon_ball		wh3_main_ksl_little_grom_cannonball	1.5000	true		-1.0000	1	0.0000	350.0000			0.0000	false	true	true	45	very_high	700	false	false	true	false	1	false	false	true	true	2.0000		false	0.0000	0.4000		placeholder
derpy_ksl_warshed_chassis_gun	musket	small_arm_default	derpy_tank_ksl_exploding_bullets	none	3	low	145	0	88	200.0	5.0000	0.0000	5	17	false	false	0.0500	13.0000	100.0000	1.8000	0	0	wh3_dlc25_rifle_repeater_trail		wh_bullet	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4000	0.4000		placeholder
derpy_ksl_warshed_infantry	artillery	artillery_default		none	2	low	300	10	40	300.0	15.0000	2.0000	50	200	true	false	0.5000	14.0000	275.0000	7.0000	15	0	wh3_ksl_little_grom_cannon_ball		wh3_main_ksl_little_grom_cannonball	1.5000	true		-1.0000	1	0.0000	350.0000			0.0000	false	true	true	45	very_high	700	false	false	true	false	1	false	false	true	true	2.0000		false	0.0000	0.4000		placeholder
