key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_ghs_great_harmony
rhd_land_skv_inf_skavenslave_slingers_warpstone_0_missile_weapon	sling	small_arm_default		grenade_spin	1	dual_low_fixed	120	0	88	100.0	10.0000	0.0000	2	3	false	false	0.1000	9.0000	85.0000	4.8000	0	0	rhd_skv_sling_bullet_warpstone		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.8400	0.4000		placeholder
rhd_land_skv_inf_night_runners_warpstone_0_missile_weapon	musket	small_arm_default		chain_shot_spin	1	low	70	0	88	96.0	10.0000	0.0000	3	4	false	false	0.1000	7.0000	40.0000	1.8000	0	0	rhd_skv_throwing_star_warpstone		wh_throwing_axe	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	45	very_low	200	false	false	false	false	1	false	false	false	true	1.0000		false	0.8800	0.4000		placeholder
rhd_land_skv_inf_night_runners_warpstone_1_missile_weapon	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	100.0	15.0000	0.0000	2	4	false	false	0.1000	8.0000	85.0000	4.0000	0	0	rhd_skv_sling_bullet_warpstone		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.8400	0.4000		placeholder
rhd_land_skv_inf_gutter_runners_warpstone_0_missile_weapon	musket	small_arm_default		chain_shot_spin	1	low	70	0	88	96.0	10.0000	0.0000	4	5	false	false	0.1000	7.0000	50.0000	1.8000	0	0	rhd_skv_throwing_star_warpstone		wh_throwing_axe	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	45	very_low	200	false	false	false	false	1	false	false	false	true	1.0000		false	0.8800	0.4000		placeholder
rhd_land_skv_inf_gutter_runner_slingers_warpstone_0_missile_weapon	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	100.0	15.0000	0.0000	4	6	false	false	0.1000	8.0000	85.0000	3.8000	0	0	rhd_skv_sling_bullet_warpstone		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.8400	0.4000		placeholder
rhd_land_skv_inf_tesla_trooper_0_missile_weapon	artillery	artillery_explosive	rhd_land_skv_inf_tesla_trooper_0_missile_weapon	none	1	low	110	0	80	160.0	20.0000	0.0000	5	20	false	false	0.1000	13.0000	90.0000	5.0000	0	0	wh2_main_skv_warp_lightning_doomwheel		wh2_main_skv_doomwheel_warp_lightning	0.5000	true	wh2_dlc12_unit_passive_zzzap	3.0000	1	0.0000	25.0000			0.0000	true	true	true	45	medium	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.6000	0.4000		placeholder
rhd_land_skv_inf_night_runners_ror_missile_weapon	musket	small_arm_default		chain_shot_spin	1	low	70	0	88	96.0	10.0000	0.0000	10	2	false	false	0.1000	7.0000	40.0000	1.8000	0	0	wh2_main_skv_throwing_star_poison		wh_throwing_axe	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	45	very_low	200	false	false	false	false	1	false	false	false	true	1.0000		false	0.8800	0.4000		placeholder
rhd_land_skv_inf_poison_wind_globadiers_ror_missile_weapon	artillery	artillery_default	rhd_land_skv_inf_poison_wind_globadiers_ror_missile_weapon	grenade_spin	1	dual_low_fixed	85	4	88	60.0	10.0000	0.0000	4	12	false	false	0.1000	11.0000	60.0000	8.0000	0	0	rhd_land_skv_inf_poison_wind_globadiers_ror_missile_weapon		wh2_main_skv_poison_wind_globe	-1.0000	false	wh2_dlc14_unit_contact_poisoned_wind	6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	true	1.0000		false	1.4000	0.4000		placeholder
rhd_land_skv_art_plagueclaw_catapult_ror_missile_weapon	artillery	artillery_default	rhd_land_skv_art_plagueclaw_catapult_ror_missile_weapon	axe_spin	1	low	400	35	60	134.0	10.0000	0.0000	45	105	false	false	0.2000	18.0000	600.0000	150.0000	0	0	rhd_land_skv_art_plagueclaw_catapult_ror_missile_weapon		wh2_catapult_plagueclaw	0.6000	true	wh2_main_unit_contact_plague_monk_censer_morale	-1.0000	1	0.0000	50.0000			0.0000	true	true	true	45	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000	rhd_vortex_skv_plagueclaw_ror	placeholder
