key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_singe_units_wh_all
singe_ancient_razordon_shrapnel	arrow	small_arm_default		none	1	dual_low_fixed	115	0	88	100.0	20.0000	0.0000	8	14	false	false	0.1000	7.0000	120.0000	6.0000	10	0	wh2_dlc13_lzd_razordon_spike		wh2_dlc13_razordon_spike	-1.0000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	low	300	false	false	false	false	1	false	false	false	false	1.0000		false	0.7500	0.4000		placeholder
singe_ancient_razordon_spike_launch	musket	small_arm_default	singe_ancient_razordon_spike_explosion	none	1	dual_low_fixed	140	0	88	190.0	10.0000	0.0000	35	110	false	false	0.0500	10.0000	110.0000	2.9000	0	0	wh2_dlc13_lzd_razordon_spike		wh2_dlc13_razordon_spike	-1.0000	false		-1.0000	1	0.0000	12.0000			0.0000	false	true	true	45	medium	300	false	false	false	false	3	false	false	true	true	1.0000		false	0.7500	0.4000		placeholder
singe_bat_cage	artillery	artillery_explosive	singe_caged_bats_explosion	axe_spin	1	fixed	380	60	56	136.0	10.0000	0.0000	70	20	false	false	0.1700	20.0000	275.0000	400.0000	0	0	singe_bat_cage_display		wh_tower_caged_bats	0.2000	true	wh2_dlc09_unit_contact_shieldbreaker	-1.0000	1	0.0000	50.0000			0.0000	false	true	true	50	low	600	false	false	false	true	1	false	false	true	true	1.0000		false	0.6300	0.4000		placeholder
singe_blissbarb_arrow	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	90.0	10.0000	0.0000	4	16	false	false	0.1000	11.0000	120.0000	4.3000	0	0	wh2_dlc15_main_hef_bow_arrow_skyhawk		wh_bow_arrow_magical	-1.0000	false	wh2_dlc11_unit_contact_charmed	-1.0000	1	0.0000	3.0000			0.0000	true	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.9300	0.4000		placeholder
singe_bugman_keg	artillery	artillery_default	singe_bugman_kegburst	grenade_spin	1	low	440	40	65	138.0	10.0000	0.0000	10	140	false	false	0.2000	20.0000	340.0000	80.0000	0	0	wh_dwf_fused_beer_keg_tower		wh_tower_fused_beer_keg	0.6000	true	wh2_dlc12_unit_contact_flammable	-1.0000	1	0.0000	120.0000			1.0000	false	true	true	45	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
singe_burningthunder_grenade	arrow	explosives	singe_burningthunder_explosion	grenade_spin	1	dual_low_fixed	100	7	88	80.0	10.0000	0.0000	8	1	false	false	0.0500	15.0000	100.0000	10.0000	0	0	wh_dwf_organ_gun_shot_flaming		wh_grenade	0.0500	false		-1.0000	1	0.0000	1.0000			0.0000	false	false	true	55		230	false	false	false	false	1	false	false	false	false	1.0000		false	1.0500	0.4000		placeholder
singe_chd_infernal_bazukashell	artillery	artillery_default	singe_chd_infernal_bazukablast	none	1	dual_low_fixed	120	0	88	70.0	10.0000	1.0000	28	116	false	false	0.0500	20.0000	40.0000	1.7000	0	24	wh3_dlc23_deathshrieker_rocket_part_2		wh3_dlc23_chd_deathshrieker_rocket_shrapnel	1.0000	false		-1.0000	1	0.0000	220.0000			0.0000	false	true	true	45	very_low	160	false	true	false	false	1	false	false	false	true	1.0000		false	1.2000	0.4000		placeholder
singe_chd_infernal_magmablast	musket	artillery_flammable	singe_chd_infernal_magmablazz	none	1	low	80	0	55	60.0	10.0000	0.0000	8	4	false	false	1.0000	9.0000	40.0000	1.4000	0	0	wh_dwf_drakegun_flame		wh_drakegun_flame	0.0000	false		3.0000	4	0.3500	40.0000			1.0000	false	true	true	45	low	88	true	true	false	false	1	false	false	false	true	2.0000		false	1.4000	0.4000		placeholder
singe_chd_rifle_shot	musket	small_arm_default		none	1	low	160	0	88	200.0	20.0000	0.0000	5	17	false	false	0.0500	13.0000	90.0000	1.6500	0	0	wh3_dlc23_chd_blunderbuss		wh_bullet	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
