key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_str_skaven_clans
str_crooktail_slinger_ror_sling	sling	small_arm_default		grenade_spin	1	dual_low_fixed	120	0	88	100.0	10.0000	0.0000	7	1	false	false	0.1000	9.0000	85.0000	4.8000	0	0	wh2_dlc12_skv_warp_jezzails		wh2_slingshot_rock_small	-1.0000	false	wh2_pro08_unit_contact_dampen	-1.0000	1	0.0000	1.0000			0.0000	true	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.8400	0.4000		placeholder
str_feesik_plague_lord_sling	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	100.0	70.0000	0.0000	120	20	false	false	0.2500	8.0000	100.0000	0.5000	0	0	wh2_main_skv_sling_bullet		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	medium	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.8400	0.4000		placeholder
str_rikzik	sling	small_arm_default	wh2_main_skv_plagueclaw	grenade_spin	1	dual_low_fixed	180	0	88	90.0	70.0000	0.0000	160	30	false	false	0.2500	6.0000	150.0000	0.5000	0	0	wh2_main_skv_plagueclaw		wh2_catapult_plagueclaw	0.6000	false	wh2_main_unit_contact_plague_monk_censer_morale	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	high	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.8400	0.4000		placeholder
str_rikzik_fling_fling	artillery	artillery_explosive	str_rikzik_fling_fling	axe_spin	13	low	400	35	60	90.0	100.0000	7.0000	20	50	false	false	0.2000	18.0000	600.0000	150.0000	0	0	wh2_main_skv_plagueclaw		wh2_catapult_plagueclaw	0.6000	true	wh2_main_unit_contact_plague_monk_censer_morale	-1.0000	1	0.0000	50.0000			0.0000	true	true	true	45	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
thom_ratling	musket	small_arm_default		none	1	low	145	0	88	200.0	10.0000	0.0000	2	6	false	false	0.0500	5.0000	70.0000	2.7000	0	0	wh_dwf_organ_gun_shot		wh2_dlc12_bullet_ratling_gun	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	18	false	false	false	false	1.0000		false	0.0000	0.4000		placeholder
thom_ferrik_spell_light_shems_burning_gaze	misc	small_arm_flaming	thom_ferrik_spell_light_shems_burning_gaze	shell_spin	5	low	250	10	88	120.0	30.0000	5.0000	20	50	false	false	0.2500	1.0000	200.0000	0.5000	0	33	wh_main_spell_metal_searing_doom		wh_magic_burning_gaze	0.2500	false		5.0000	1	1.0000	50.0000	homing_strong_magical		1.0000	true	true	true	25	medium_magic	-1	false	false	false	true	1	false	false	false	false	1.0000		true	0.7000	0.4000		placeholder
thom_ferrik_spell_light_shems_burning_gaze_upgraded	misc	small_arm_flaming	thom_ferrik_spell_light_shems_burning_gaze_upgraded	shell_spin	5	low	250	10	88	120.0	30.0000	5.0000	40	100	false	false	0.2500	1.0000	200.0000	0.5000	0	66	wh_main_spell_metal_searing_doom		wh_magic_burning_gaze	0.2500	false		5.0000	1	1.0000	50.0000	homing_strong_magical		1.0000	true	true	true	25	medium_magic	-1	false	false	false	true	1	false	false	false	false	1.0000		true	0.7000	0.4000		placeholder
thom_ferrik_poison_wind_mortar	artillery	artillery_default	thom_ferrik_poison_wind_mortar	axe_spin	1	fixed	250	60	56	180.0	10.0000	0.0000	6	48	false	false	0.1600	14.0000	175.0000	300.0000	0	0	wh_emp_mortar		wh_mortar_cannonball	0.2000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	25.0000			0.0000	true	true	true	50	low_magic	600	false	false	false	false	1	false	false	true	false	1.0000		false	0.0000	0.4000		placeholder
thom_ferrik_poison_wind_mortar_ror	artillery	artillery_canister	thom_ferrik_poison_wind_mortar_ror	axe_spin	1	fixed	250	60	75	180.0	20.0000	0.0000	36	96	false	false	0.1600	14.0000	175.0000	300.0000	0	0	wh_emp_mortar		wh_mortar_cannonball	0.2000	false	wh2_dlc12_unit_contact_sundered_armour	-1.0000	1	0.0000	25.0000			0.0000	true	true	true	40	low_magic	600	false	false	false	false	1	false	false	true	false	1.0000		false	0.0000	0.4000		placeholder
thom_ferrik_poison_wind_mortar_ror_shrapnel	artillery	artillery_explosive	thom_ferrik_poison_wind_mortar_ror_shrapnel	axe_spin	1	fixed	85	60	75	10.0	20.0000	0.0000	4	12	false	false	0.1000	7.0000	60.0000	8.0000	0	0	wh_dwf_bomber_clattergun_bullet		wh2_helblaster_bullet_multi_impact_large	-1.0000	false	wh2_dlc12_unit_contact_sundered_armour	-1.0000	1	0.0000	10.0000			0.0000	false	true	true	40	medium	600	false	false	false	false	1	false	false	true	false	1.0000		false	0.0000	0.4000		placeholder
str_ferrik_grenadiers	artillery	artillery_default	str_ferrik_grenadiers	grenade_spin	1	dual_low_fixed	85	4	88	60.0	10.0000	0.0000	4	12	false	false	0.1000	11.0000	60.0000	8.0000	0	0	wh2_dlc11_cst_zombie_gunnery_grenade		wh2_dlc11_grenade	-1.0000	false	wh2_dlc12_unit_contact_sundered_armour	6.5000	1	0.0000	10.0000			0.0000	false	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	3.0000		false	0.0000	0.4000		placeholder
thom_ferrik_jezzail	musket	small_arm_default		shell_spin	1	low	275	0	88	200.0	10.0000	0.0000	6	30	false	false	0.0500	12.0000	150.0000	0.6000	0	0	wh_emp_rifle_bullet		wh_bullet	-1.0000	false	wh2_dlc09_unit_contact_shieldbreaker	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	low	600	false	false	false	false	1	false	false	false	false	1.0000		false	0.0000	0.4000		placeholder
thom_ferrik_art_bolt_thrower_0	artillery	artillery_default		chain_shot_spin	1	low	340	8	40	140.0	30.0000	0.0000	28	116	false	false	0.1000	13.0000	265.0000	2.9000	0	30	thom_ferrik_art_bolt_thrower_0		wh_bolt_thrower	-1.0000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	very_high	900	false	false	false	false	1	false	false	false	true	1.0000		false	0.0000	0.4000		placeholder
thom_ferrik_zhufbar_bomb_1	misc	artillery_explosive	wh_main_spell_heavens_comet_of_casandora	shell_spin	1	low	200	25	50	150.0	30.0000	0.0000	864	864	false	false	2.0000	1.0000	250.0000	1.0000	0	0	wh2_dlc11_cst_queen_bess		wh2_dlc11_queen_bess	3.5000	true		-1.0000	1	0.0000	1000.0000			0.0000	true	true	true	45	all	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
thom_ferrik_zhufbar_bomb_2	misc	artillery_explosive	thom_ferrik_zhufbar_bomb_2	shell_spin	1	low	200	25	50	140.0	30.0000	0.0000	864	864	false	false	2.0000	1.0000	250.0000	1.0000	0	0	wh2_dlc11_cst_queen_bess		wh2_dlc11_queen_bess	3.5000	true		-1.0000	1	0.0000	1000.0000			0.0000	true	true	true	45	all	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
thom_ferrik_zhufbar_bomb_2_shrapnel	artillery	artillery_explosive	thom_ferrik_zhufbar_bomb_2_shrapnel	axe_spin	1	fixed	85	60	75	10.0	20.0000	100.0000	60	160	false	false	0.2000	7.0000	60.0000	600.0000	0	0	wh_emp_mortar		wh_mortar_cannonball	1.0000	true		-1.0000	1	0.0000	20.0000			0.0000	true	true	true	40	low	600	false	true	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
thom_ferrik_art_bolt_thrower_1	artillery	artillery_default		chain_shot_spin	1	low	340	8	40	140.0	30.0000	0.0000	28	116	false	false	0.1000	13.0000	265.0000	2.9000	0	30	thom_ferrik_art_bolt_thrower_1		wh_bolt_thrower	-1.0000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	very_high	900	false	false	false	false	1	false	false	false	true	1.0000		false	0.0000	0.4000		placeholder
wh_ferrik_rifle_bullet_explosive	musket	small_arm_default	wh2_dlc15_grn_arrow_explosion	none	1	low	145	0	88	200.0	10.0000	0.0000	5	17	false	false	0.0500	13.0000	100.0000	1.8000	0	0	wh_emp_rifle_bullet		wh_bullet	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	false	1.0000		false	0.0000	0.4000		placeholder
wh2_main_skv_doomwheel_warp_lightning	artillery	artillery_explosive	wh2_main_skv_doomwheel_warp_lightning	none	1	low	60	0	80	200.0	10.0000	0.0000	20	45	false	false	0.1000	12.0000	50.0000	5.0000	0	0	wh2_main_skv_warp_lightning_doomwheel		wh2_main_skv_doomwheel_warp_lightning	0.2000	true		6.0000	1	0.0000	200.0000			0.0000	true	true	true	45	medium	100	false	false	false	false	1	false	false	false	true	1.0000		false	0.0000	0.4000		placeholder
str_skurvy_commodore_sling	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	100.0	70.0000	0.0000	120	20	false	false	0.2500	8.0000	100.0000	0.5000	0	0	wh2_main_skv_sling_bullet		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	medium	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.8400	0.4000		placeholder
str_bileflesh	sling	small_arm_default	wh2_main_skv_plagueclaw	grenade_spin	1	dual_low_fixed	180	0	88	90.0	70.0000	0.0000	160	30	false	false	0.2500	6.0000	150.0000	0.5000	0	0	wh2_main_skv_plagueclaw		wh2_catapult_plagueclaw	0.6000	false	wh2_main_unit_contact_plague_monk_censer_morale	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	high	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.8400	0.4000		placeholder
str_bileflesh_fling_fling	artillery	artillery_explosive	str_bileflesh_fling_fling	axe_spin	13	low	400	35	60	90.0	100.0000	7.0000	20	50	false	false	0.2000	18.0000	600.0000	150.0000	0	0	wh2_main_skv_plagueclaw		wh2_catapult_plagueclaw	0.6000	true	wh2_main_unit_contact_plague_monk_censer_morale	-1.0000	1	0.0000	50.0000			0.0000	true	true	true	45	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
str_gnaw_clanrat_net	axe	small_arm_default		axe_spin	1	low	65	0	88	96.0	10.0000	0.0000	3	1	false	false	0.1000	7.0000	40.0000	1.8000	0	0	wh_grn_dung_ball		wh3_throwing_knife	-1.0000	false	str_gnaw_clanrat_net	-1.0000	1	0.0000	2.0000			0.0000	false	true	true	45	low	200	false	false	false	false	1	false	false	false	true	0.5000		false	1.3000	0.4000		placeholder
ws_spear_chukka_spear	artillery	artillery_default		none	1	low	300	8	40	140.0	30.0000	0.0000	25	100	false	false	0.1000	11.0000	265.0000	2.9000	0	40	ws_spear_chukka_spear		wh_bolt_thrower	-1.0000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	large_3	700	false	false	false	false	1	false	false	false	true	1.0000		false	-1.0000	0.4000		placeholder
str_gnaw_beaststalker	javelin	small_arm_default		none	1	dual_low_fixed	120	0	90	180.0	30.0000	0.0000	180	70	false	false	0.1000	8.0000	70.0000	1.0000	0	75	wh_chs_javelin		wh_javelin	0.1000	false		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	50	very_high_low_entity	250	false	false	false	false	1	false	false	false	true	0.2500		false	1.0500	0.4000		placeholder
rathan_inf_range_fanatics_missile	javelin	small_arm_default		none	1	low	80	0	75	112.0	10.0000	0.0000	4	4	false	false	0.1000	5.0000	45.0000	3.0000	0	0	rathan_inf_range_fanatics_missile		wh_javelin	-1.0000	false	wh3_main_unit_contact_soporific_musk	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	false	1.0000		false	0.4200	0.4000		placeholder
rathan_rocket	misc	artillery_default	wh2_main_hero_abilities_doomrocket	shell_spin	1	fixed	200	20	65	144.0	100.0000	0.0000	52	26	false	false	1.0000	23.0000	100.0000	10.0000	0	0	rathan_rocket		wh2_main_ability_doomrocket	1.0000	true		-1.0000	1	0.0000	350.0000			1.0000	true	true	true	30	medium_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	-1.0000	0.4000		placeholder
rathan_ratling	musket	small_arm_default		none	1	low	145	0	88	200.0	10.0000	0.0000	2	6	false	false	0.0500	5.0000	70.0000	2.7000	0	0	rathan_ratling		wh2_dlc12_bullet_ratling_gun	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	18	false	false	false	false	1.0000		false	0.4200	0.4000		placeholder
nathan_spell_beam_ability	misc	artillery_explosive	wh2_main_spell_dark_magic_doombolt	shell_spin	5	low	300	25	50	170.0	30.0000	25.0000	300	300	false	false	3.0000	1.0000	75.0000	0.1000	0	0	wh2_main_spell_dark_magic_doombolt		wh_magic_dark_magic_doombolt	5.0000	true		0.8500	1	0.0000	250.0000	homing_strong_magical_veryfast_bombardment		0.0000	true	true	true	45	very_low_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	-1.0000	0.4000		placeholder
nathan_spell_beam_ability_upgraded	misc	artillery_explosive	wh2_main_spell_dark_magic_doombolt	shell_spin	6	low	300	25	50	170.0	30.0000	25.0000	600	600	false	false	4.0000	1.0000	75.0000	0.1000	0	0	wh2_main_spell_dark_magic_doombolt		wh_magic_dark_magic_doombolt	5.0000	true		0.8500	1	0.0000	250.0000	homing_strong_magical_veryfast_bombardment		0.0000	true	true	true	45	very_low_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	-1.0000	0.4000		placeholder
str_haematoma_ravagers	artillery	artillery_default		none	1	low	120	0	88	200.0	10.0000	0.0000	2	3	false	false	0.0500	5.0000	70.0000	3.0000	0	0	wh3_kho_harvester_cannon_shot		wh3_dlc23_chd_magma_cannon_ball	0.3000	false		-1.0000	1	0.0000	8.0000			0.0000	false	true	true	45	medium	440	false	false	false	true	1	false	false	false	true	1.5000		false	0.4000	0.4000		placeholder
str_haematoma_bombadiers	artillery	artillery_default	str_haematoma_bombadiers	grenade_spin	1	dual_low_fixed	85	4	88	60.0	10.0000	0.0000	2	6	true	false	0.1000	11.0000	60.0000	8.0000	0	0	wh3_main_kho_skullcannon_skull		wh3_main_kho_skullcannon_projectile	-1.0000	false		6.5000	1	0.0000	10.0000			1.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	true	1.5000		false	1.4000	0.4000	str_haematoma_bombadiers	placeholder
str_haematoma_pyroclasts	musket	artillery_flammable	str_haematoma_pyroclasts	none	1	low	80	0	55	60.0	10.0000	0.0000	8	3	false	false	1.0000	14.0000	40.0000	1.7000	0	0	wh3_dlc23_chd_bale_taurus_fire_breath		wh2_warpfiregun_flame	-1.0000	false	str_haematoma_contact_fires_khorne	3.0000	4	0.3500	40.0000			1.0000	true	true	true	45	low	85	true	true	false	false	1	false	false	false	true	0.5000		false	1.4000	0.4000		placeholder
str_haematoma_juggernauts_precursor	artillery	artillery_default	str_haematoma_juggernauts_precursor	grenade_spin	1	dual_low_fixed	50	4	88	60.0	10.0000	0.0000	2	6	true	false	0.1000	45.0000	60.0000	8.0000	0	0	wh3_main_kho_skullcannon_skull		wh3_main_kho_skullcannon_projectile	-1.0000	false	str_haematoma_contact_vein_opener	6.5000	1	0.0000	10.0000			1.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	true	1.5000		false	1.4000	0.4000	str_haematoma_bombadiers	placeholder
str_haematoma_goretail_axe	artillery	artillery_flammable	str_haematoma_goretail_axe	shell_spin	15	low	250	10	88	120.0	30.0000	5.0000	20	60	false	false	0.2500	1.0000	100.0000	0.7500	0	0	wh3_main_kho_skullcannon_skull		wh3_kho_tower_skullcannon_projectile	0.2500	false		5.0000	1	1.0000	50.0000	homing_medium_magical_fast_scattered		1.0000	true	true	true	25	medium_magic	-1	false	false	false	false	1	false	false	false	true	1.0000		false	0.7000	0.4000	str_haematoma_bombadiers	placeholder
str_kreepus_gutters_pistol	musket	small_arm_default		none	1	low	90	0	45	200.0	10.0000	0.0000	3	11	false	false	0.0500	12.0000	85.0000	1.8000	0	0	wh2_dlc12_skv_warp_jezzails		wh2_dlc12_warplock_jezzail_bullet	-1.0000	false	str_kreepus_warpstone	-1.0000	1	0.0000	2.0000			0.0000	true	true	true	45	low	200	false	false	false	false	2	false	false	false	true	1.0000		false	0.4000	0.4000		placeholder
str_kreepus_night_pistol	musket	small_arm_default		none	1	low	90	0	45	200.0	10.0000	0.0000	3	11	false	false	0.0500	12.0000	65.0000	1.8000	0	0	wh2_dlc12_skv_warp_jezzails		wh2_dlc12_warplock_jezzail_bullet	-1.0000	false	str_kreepus_warpstone	-1.0000	1	0.0000	2.0000			0.0000	true	true	true	45	low	200	false	false	false	false	1	false	false	false	true	1.0000		false	0.4000	0.4000		placeholder
str_kreepus_mordheim_warp_bolt_upgraded	misc	artillery_explosive	wh2_main_spell_ruin_warp_lightning	none	1	low	400	0	50	240.0	100.0000	0.0000	0	1528	false	false	1.5000	1.0000	250.0000	1.0000	0	0	wh2_dlc12_skv_storm_daemon_lightning		wh2_dlc12_ability_storm_daemon	2.0000	true		0.8000	1	0.0000	100.0000			0.0000	true	true	true	45	all	600	false	false	false	true	1	false	false	true	true	1.0000		true	0.3500	0.4000		placeholder
str_kreepus_mordheim_warp_bolt	misc	artillery_explosive	wh2_main_spell_ruin_warp_lightning	none	1	low	400	0	50	240.0	100.0000	0.0000	0	764	false	false	1.5000	1.0000	250.0000	1.0000	0	0	wh2_dlc12_skv_storm_daemon_lightning		wh2_dlc12_ability_storm_daemon	2.0000	true		0.8000	1	0.0000	100.0000			0.0000	true	true	true	45	all	600	false	false	false	true	1	false	false	true	true	1.0000		true	0.3500	0.4000		placeholder
str_kreepus_misericorde_pistol	musket	small_arm_default		none	1	low	90	0	45	220.0	60.0000	0.0000	40	120	false	false	0.0500	6.0000	80.0000	1.6000	0	0	wh2_dlc12_skv_warp_jezzails_ror		wh2_dlc12_warplock_jezzail_bullet	-1.0000	false	str_kreepus_warpstone	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	1.0000		false	0.3800	0.4000		placeholder
str_kreepus_eshin_sorcerer	musket	small_arm_default		none	1	low	90	0	45	220.0	60.0000	0.0000	30	90	false	false	0.0500	6.0000	80.0000	1.6000	0	0	wh2_dlc12_skv_warp_jezzails_ror		wh2_dlc12_warplock_jezzail_bullet	-1.0000	false	str_kreepus_warpstone	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	1.0000		false	0.3800	0.4000		placeholder
str_kreepus_gnawlitch_globe	artillery	artillery_default		grenade_spin	1	dual_low_fixed	90	4	88	60.0	10.0000	0.0000	21	21	false	false	0.1000	8.0000	60.0000	8.0000	20	0	wh2_main_skv_poison_wind_globe		wh2_main_skv_poison_wind_globe	-1.0000	false		6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	300	false	true	false	false	1	false	false	false	false	1.0000		false	1.4000	0.4000	str_kreepus_gnawlitch_globe	placeholder
str_kreepus_gnawlitch_infused	misc	artillery_explosive		grenade_spin	1	dual_low_fixed	110	0	88	60.0	50.0000	0.0000	21	21	true	false	0.2000	9.0000	60.0000	8.0000	0	0	wh2_main_skv_death_globe		wh2_main_skv_death_globe	-1.0000	false		6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	300	false	true	false	false	1	false	false	false	false	1.0000		false	1.4000	0.4000	str_kreepus_gnawlitch_infused	placeholder
str_kreepus_gnawlitch_strangling	misc	artillery_explosive		grenade_spin	1	dual_low_fixed	110	0	88	60.0	50.0000	0.0000	21	21	true	false	0.2000	9.0000	60.0000	8.0000	0	0	wh2_dlc14_skv_poison_wind_mortar_globe		wh2_main_skv_death_globe	-1.0000	false		6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	300	false	true	false	false	1	false	false	false	false	1.0000		false	1.4000	0.4000	str_kreepus_gnawlitch_strangling	placeholder
str_kreepus_gnawlitch_enriched	misc	artillery_explosive		grenade_spin	1	dual_low_fixed	110	0	88	60.0	50.0000	0.0000	21	21	true	false	0.2000	9.0000	60.0000	8.0000	0	0	wh2_dlc14_skv_poison_wind_mortar_globe_ror		wh2_main_skv_death_globe	-1.0000	false		6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	300	false	true	false	false	1	false	false	false	false	1.0000		false	1.4000	0.4000	str_kreepus_gnawlitch_enriched	placeholder
str_kreepus_stalkscent_throwing_star	musket	small_arm_default	wh2_dlc14_spell_stealth_warp_stars	chain_shot_spin	1	low	125	0	88	100.0	70.0000	0.0000	25	50	false	false	0.2500	6.0000	100.0000	0.5000	20	0	wh2_main_skv_throwing_star_poison		wh2_dlc14_skv_master_assassin_throwing_star	-1.0000	false	wh2_main_unit_contact_weeping_blade	-1.0000	1	0.0000	5.0000			0.0000	true	true	true	45	medium	300	false	false	false	false	3	false	false	false	false	1.0000		false	0.8400	0.4000		placeholder
bc_virulent_proj	artillery	artillery_explosive	bc_virulent_proj	axe_spin	7	low	400	35	60	134.0	10.0000	7.0000	20	50	false	false	0.2000	18.0000	600.0000	150.0000	0	0	wh2_main_skv_plagueclaw		wh2_catapult_plagueclaw	0.6000	true	wh2_main_unit_contact_plague_monk_censer_morale	-1.0000	1	0.0000	50.0000			0.0000	true	true	true	45	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
bc_chained_proj	artillery	artillery_default	bc_chained_proj	grenade_spin	1	dual_low_fixed	50	4	88	60.0	10.0000	0.0000	1	3	false	false	0.1000	11.0000	60.0000	8.0000	0	0	wh2_main_skv_plagueclaw		wh2_main_skv_poison_wind_globe	0.6000	true	wh2_main_unit_contact_plague_monk_censer_morale	6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	1.4000	0.4000		placeholder
str_bentblade_black_cauldron	misc	small_arm_flaming	str_bentblade_black_cauldron	shell_spin	1	low	40	0	88	60.0	0.0000	5.0000	0	0	false	false	0.5000	1.0000	250.0000	10.0000	0	0	wh2_main_skv_plagueclaw		wh2_catapult_plagueclaw	1.0000	false		10.0000	1	0.0000	25.0000			1.0000	true	true	true	45	very_low_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		true	0.0000	0.4000		placeholder
hcm_vatbacks_proj	artillery	artillery_default	hcm_vatbacks_proj	grenade_spin	1	dual_low_fixed	85	4	88	60.0	10.0000	0.0000	4	9	false	false	0.1000	11.0000	60.0000	8.0000	0	0	wh2_main_skv_plagueclaw		wh2_main_skv_poison_wind_globe	0.6000	true	wh2_main_unit_contact_plague_monk_censer_morale	6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	1.4000	0.4000		placeholder
hcs_ror_lektrik_proj	artillery	artillery_default	hcs_ror_lektrik_proj	none	1	low	430	10	50	220.0	30.0000	0.0000	20	65	false	false	0.1000	10.0000	275.0000	9.0000	0	10	wh2_main_skv_warp_lightning		wh2_main_skv_warp_lightning_cannon	0.4000	true	wh2_dlc12_unit_passive_zzzap	6.0000	1	0.0000	300.0000			0.0000	true	true	true	45	very_high_low_entity	600	false	false	false	true	1	false	false	false	true	1.0000		false	0.0000	0.4000		placeholder
hcs_doomrocket	misc	artillery_default	hcs_doomrocket	shell_spin	7	low	430	20	65	144.0	100.0000	7.0000	26	13	false	false	1.0000	23.0000	100.0000	10.0000	0	0	wh2_main_hero_abilities_doomrocket		wh2_main_ability_doomrocket	1.0000	true		-1.0000	1	0.0000	350.0000			1.0000	true	true	true	30	medium_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.5800	0.4000		placeholder
hcs_doomrocket_shrapnel	misc	artillery_default	hcs_doomrocket_shrapnel	shell_spin	1	fixed	430	20	88	40.0	100.0000	3.0000	0	132	false	false	0.5000	23.0000	100.0000	30.0000	0	0	wh2_main_hero_abilities_doomrocket_shrapnel			0.5000	true		-1.0000	1	0.0000	20.0000			1.0000	true	true	true	30	medium_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	2.1000	0.4000		placeholder
hcs_ror_technox_proj	musket	artillery_flammable	hcs_ror_technox_proj	none	1	low	80	0	55	60.0	30.0000	0.0000	8	3	false	false	2.0000	12.0000	40.0000	1.7000	0	0	wh2_main_skv_warpfire		wh2_dlc12_ikit_warpfiregun_flame	-1.0000	false	wh_main_unit_contact_morale	3.0000	4	0.5000	40.0000			1.0000	true	true	true	45	low	85	true	true	false	false	1	false	false	false	false	1.0000		false	1.4000	0.4000		placeholder
