key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!!firing_arc_120_compat_!cr_skaven_unit_dumping_ground
cr_skv_monster_stormfiend	giant	2.0000	6.0000	3.5000	5.0000	8.0000	40.0000	35.0000	35.0000	1.8500	circle	1.0000	2700.0000	4.6000	120	100.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	none	3.0000	monstrous_infantry_effects	20	20	0.0000	false	0.8000	0.7500	3			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_skv_monster_stormfiend_shock_gauntlets	giant	2.0000	6.0000	3.5000	5.0000	8.0000	40.0000	35.0000	35.0000	1.8500	circle	1.0000	2700.0000	4.6000	120	100.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	none	3.0000	monstrous_infantry_effects	20	20	0.0000	false	0.8000	0.7500	3			0.5000	1.6000	14	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_skv_monster_stormfiend_brazierfists	giant	2.0000	6.0000	3.5000	5.0000	8.0000	40.0000	35.0000	35.0000	1.8500	circle	1.0000	2700.0000	4.6000	120	100.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	none	3.0000	monstrous_infantry_effects	20	20	0.0000	false	0.8000	0.7500	3			0.5000	1.6000	13	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_skv_monster_chimaerat	giant	3.3000	4.6000	5.0000	7.0000	5.5000	35.0000	30.0000	30.0000	4.3000	capsule	0.5500	5000.0000	4.5000	120	100.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh2_rat_ogre	6.0000	giant_effects	30	30	0.0000	false	1.0000	0.7500	5			0.3000	1.4500	29	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_skv_mon_aberration_blood	giant	2.2000	4.5000	4.0000	5.0000	8.6000	45.0000	35.0000	35.0000	1.6500	capsule	0.9000	1150.0000	2.8000	120	80.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh2_rat_ogre	4.0000	monstrous_infantry_effects	55	55	0.0000	false	1.0000	0.8000	4			0.5000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	25	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_skv_monster_giant_rat_blood	horse	1.5000	5.4000	4.5000	6.0000	6.0000	30.0000	25.0000	25.0000	1.0000	capsule	0.3600	150.0000	1.2000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	rotation_x	cr_skv_giant_rat	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.9000	2			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_skv_inf_burrowing_behemoth_blood	giant	2.5000	7.5000	4.5000	6.0000	10.0000	50.0000	40.0000	35.0000	4.0000	capsule	0.3600	4000.0000	3.5000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation_x	wh2_dlc16_brood_horror	6.0000	giant_effects	70	60	0.0000	false	1.2500	0.7500	5			0.5000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_skv_mon_armoured_rat_ogre_0	giant	2.0000	5.5000	3.5000	5.0000	8.0000	40.0000	35.0000	35.0000	1.0000	circle	1.0000	2000.0000	2.8000	120	100.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	none	3.0000	monstrous_infantry_effects	20	20	0.0000	false	0.8000	0.7500	3			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
pj_dummy_summoned_behemoth	man	1.0000	1.0000	1.0000	1.0000	1.0000	35.0000	35.0000	35.0000	0.1000	circle	1.0000	9999.0000	100.0000	120	240.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	100	100	0.0000	false	0.1000	1.0000	0			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
