key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!!firing_arc_120_compat_@whc_cth_unit_wuh_
cth_banner_27	man	1.4000	2.7000	3.0000	4.0000	3.5000	45.0000	40.0000	40.0000	0.6000	circle	1.0000	600.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	100	100	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	5	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_banner_30	man	1.5000	3.0000	3.0000	4.0000	4.1000	45.0000	40.0000	40.0000	0.6000	circle	1.0000	600.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	100	100	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	5	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_banner_32	man	1.5000	3.2000	3.5000	5.0000	3.9000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	600.0000	1.8000	120	140.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	100	100	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	10	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_banner_33	man	1.7000	3.3000	4.0000	5.0000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	600.0000	1.9000	120	140.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	100	100	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.6000	1.0000	1.0000	1.0000		false	false
cth_banner_34	man	1.5000	3.4000	3.5000	5.0000	3.9000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	600.0000	1.8000	120	140.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	100	100	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	10	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_banner_36	man	1.5000	3.6000	5.0000	5.0000	4.6000	50.0000	45.0000	45.0000	0.6000	circle	1.0000	600.0000	1.8000	120	160.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	100	100	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_cav_bayara_rider	man	2.0000	3.0000	3.5000	6.0000	5.0000	45.0000	45.0000	35.0000	0.6000	circle	1.0000	125.0000	1.5000	360.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_cav_guanning_firelancer	man	1.5000	3.3000	2.0000	4.0000	4.5000	20.0000	10.0000	15.0000	0.6000	circle	1.0000	100.0000	1.8000	360.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	medium	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	false	1.0000	0.9000	2			0.5000	1.6000	2	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_central_jade_lion	giant	2.0000	7.2000	5.0000	6.0000	11.5000	40.0000	35.0000	30.0000	2.1000	capsule	0.5500	1600.0000	2.0000	120	120.0000	8	true	true	1.0000	0.0000	0.0000	large	3.0000	rotation_x	wh_horse_normal	0.0000	cavalry_effects	60	50	-0.5000	false	0.8000	0.7500	3			0.5000	1.6000	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_central_jade_lion_rider	man	1.8000	3.0000	2.0000	4.0000	4.3000	35.0000	30.0000	25.0000	0.6000	circle	1.0000	150.0000	1.8000	360.0000	90.0000	8	true	true	0.0000	0.0000	0.0000	medium	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	-0.5000	false	1.0000	0.9000	2			0.5000	1.6000	2	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_central_tianting_crow_guard	giant	2.2000	6.5000	5.0000	8.0000	9.2000	40.0000	35.0000	35.0000	1.0000	circle	1.0000	1300.0000	3.0000	120	180.0000	8	true	true	0.0000	10.0000	13.0000	large	1.0000	ignore	wh3_dlc24_cth_onyx_crowman	4.0000	monstrous_infantry_effects	20	20	0.0000	false	1.0000	0.8000	3			0.0000	1.4500	1	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_central_tianting_ogr_swordsmaster	giant	2.3000	5.7000	3.5000	4.5000	8.8000	50.0000	40.0000	35.0000	1.3000	circle	1.0000	1800.0000	3.1000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh3_ogr_maneater	5.0000	monstrous_infantry_effects	60	60	0.0000	true	1.0000	0.7500	3	wh_main_generic_character_aura		0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	40	large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_east_jiaolong	giant	2.8000	6.8000	8.0000	9.0000	10.0000	40.0000	35.0000	30.0000	2.0000	capsule	0.5000	2200.0000	3.4000	360.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	large	3.0000	rotation_x	wh2_dragon_large_hydra	3.0000	war_beast_effects	80	80	-0.5000	false	1.0000	0.8500	3			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_east_mingqing_base_horse	horse	2.0000	8.8000	6.5000	7.0000	11.0000	40.0000	35.0000	35.0000	1.4000	ellipse	0.5000	500.0000	2.0000	360.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	medium	3.0000	rotation_x	wh_horse_normal	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_east_mingqing_heavy_gunner	man	1.5000	2.8000	3.0000	4.0000	3.5000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	150.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	0.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	100	100	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	10	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_east_mingqing_inf_light	man	1.5000	3.2000	3.5000	5.0000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	100.0000	1.8000	120	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	10	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_east_mingqing_inf_medium	man	1.5000	3.0000	3.0000	4.0000	3.8000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	100.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	10	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
cth_east_mingqing_inf_medium_crossbow	man	1.5000	3.0000	3.0000	4.0000	3.8000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	100.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh3_cth_human_male	0.0000	infantry_light_effects	100	100	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	10	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
