key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!!firing_arc_120_compat__hv_overhaul_hvo
hv_cst_inf_sartosa_boarding_axes	man	1.7000	3.5000	3.0000	4.0000	4.3000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	100.0000	1.9000	120	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
hv_entity_hef_archer_armour	man	1.5000	3.3000	5.0000	5.0000	4.3000	30.0000	25.0000	25.0000	0.6800	circle	1.0000	100.0000	1.8000	120	160.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
hv_entity_dwf_ulthars_raiders	man	1.5000	3.3000	4.0000	5.0000	4.0000	30.0000	25.0000	25.0000	0.5000	circle	1.0000	155.0000	1.3500	120	160.0000	8	true	true	0.0000	0.0000	0.0000	small	1.3000	ignore	wh_dwarf_default	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
hv_wef_inf_elven_folks_0	man	1.5000	4.6000	4.0000	5.0000	5.4000	35.0000	30.0000	30.0000	0.6500	circle	1.0000	100.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	40	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
hv_wef_inf_mournsingers_0	man	1.5000	4.6000	4.0000	5.0000	5.4000	35.0000	30.0000	30.0000	0.6500	circle	1.0000	110.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
hv_emp_inf_sisters	man	1.5000	3.6000	3.0000	4.0000	4.0000	30.0000	25.0000	25.0000	0.6500	circle	1.0000	100.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_female	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
hv_ksl_cav_orthodoxy_henchmen	horse	2.0000	9.2000	7.0000	8.0000	11.3000	35.0000	25.0000	25.0000	1.4000	ellipse	0.5000	500.0000	2.0000	120	140.0000	8	true	true	1.0000	0.0000	0.0000	medium	3.0000	rotation_x	wh_horse_normal	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
hv_entity_dummy	man	1.5000	4.6000	4.0000	5.0000	5.4000	35.0000	30.0000	30.0000	0.6500	circle	1.0000	110.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
hv_vehicle_brt_war_castle	giant	1.9000	3.0000	3.0000	4.0000	4.0000	30.0000	25.0000	25.0000	3.0000	capsule	0.7500	6000.0000	9.9300	360.0000	30.0000	8	true	true	1.0000	0.0000	0.0000	very_large	1.0000	rotation	wh2_dlc13_war_machine_warwagon	5.0000	artillery_effects	0	0	0.0000	false	1.0000	1.0000	20			0.5000	1.4500	85	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
