key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!!firing_arc_120_compat_ab_unwashed_masses
gnob_cauldron	chariot	1.5000	7.2000	6.0000	7.0000	9.4000	40.0000	35.0000	35.0000	3.1000	capsule	0.5000	2000.0000	2.0000	120	60.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	rotation_x	wh2_chariot_articulation	3.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	20			0.5000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	15	large_entity	false	1.0000	1.0000	1.0000	1.0000		true
gnob_mon_sabretusk_bloodnose	horse	1.7000	9.5000	5.5000	6.5000	12.0000	45.0000	35.0000	25.0000	1.6000	capsule	0.5000	450.0000	1.9000	360.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	medium	3.0000	rotation_x	wh_boar	2.0000	cavalry_effects	15	15	0.0000	false	1.0000	0.8500	3			0.5000	1.4500	100	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_mon_rhinox_platform_01	giant	1.7000	7.5000	4.5000	5.5000	11.0000	50.0000	40.0000	30.0000	2.4000	capsule	0.5000	2200.0000	3.0000	360.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	large	3.0000	rotation_x	wh3_main_ogr_mnt_rhinox_blood	3.0000	war_beast_effects	35	35	-0.2000	false	1.0000	0.8500	3			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	80	mournfang_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_mon_yhetee	giant	2.2000	7.5000	5.0000	5.0000	10.0000	50.0000	40.0000	35.0000	1.4000	ellipse	0.7500	1500.0000	3.2000	120	100.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh_troll	5.0000	monstrous_infantry_effects	30	30	0.0000	false	0.9000	0.7500	3			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	40	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_cav_pigback_riders_character	man	1.5000	3.5000	4.0000	5.0000	4.1000	35.0000	30.0000	30.0000	1.0000	circle	1.0000	90.0000	2.4000	120	180.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh_goblin	2.0000	infantry_light_effects	70	40	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_cav_pigback_riders	man	1.5000	3.5000	4.0000	5.0000	4.1000	35.0000	30.0000	30.0000	1.0000	circle	1.0000	90.0000	2.4000	120	180.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh_goblin	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_ror_knights_of_pigbarter	man	1.5000	4.5000	4.0000	5.0000	5.1000	35.0000	30.0000	30.0000	1.0000	circle	1.0000	90.0000	2.4000	120	180.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh_goblin	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_cav_pigback_riders_javelin	man	1.5000	3.5000	4.0000	5.0000	4.1000	35.0000	30.0000	30.0000	1.0000	circle	1.0000	90.0000	2.4000	360.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh_goblin	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_cha_bloodnose	man	1.5000	3.5000	3.0000	4.0000	4.5000	35.0000	35.0000	35.0000	0.6000	circle	1.0000	350.0000	1.4000	360.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_goblin	2.0000	infantry_light_effects	70	40	0.0000	true	1.0000	0.9500	1	wh_main_generic_character_aura		0.5000	1.4500	1	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_ror_gorespittles	man	1.5000	3.5000	4.0000	5.0000	4.1000	35.0000	30.0000	30.0000	0.5000	circle	1.0000	90.0000	1.2000	360.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_goblin	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_cha_bragg_the_gutsman	giant	2.3000	5.4000	2.8000	4.0000	8.5000	50.0000	40.0000	35.0000	1.8000	circle	1.0000	2800.0000	3.4000	120	100.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh3_ogr_units	5.0000	monstrous_infantry_effects	95	95	0.0000	false	1.0000	0.7500	3	wh_main_generic_character_aura		0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	40	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_inf_biters	man	1.5000	3.5000	4.0000	5.0000	4.1000	35.0000	30.0000	30.0000	0.7200	circle	1.0000	90.0000	1.2000	120	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_goblin	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_cha_torch_gnoblar	man	1.5000	3.5000	3.0000	4.0000	4.5000	35.0000	35.0000	35.0000	0.6000	circle	1.0000	350.0000	1.4000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_goblin	2.0000	infantry_light_effects	70	40	0.0000	true	1.0000	0.9500	1	wh_main_generic_character_aura		0.5000	1.4500	22	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
gnob_inf_powder_sniffers	man	1.5000	3.5000	4.0000	5.0000	4.1000	35.0000	30.0000	30.0000	0.5000	circle	1.0000	90.0000	1.2000	120	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_goblin	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	11	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
