key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!!firing_arc_120_compat_bodyguards_allinone_en
assassin_bodyguard1	man	1.5000	5.4000	5.0000	6.0000	6.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	100.0000	1.5000	360.0000	180.0000	0	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	25	25	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
assassin_bodyguard1_main	man	1.5000	5.4000	5.0000	6.0000	6.0000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	800.0000	1.8000	360.0000	180.0000	1750	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	2.0000	infantry_light_effects	70	40	0.0000	true	0.8000	0.9000	1	wh_main_generic_character_aura		0.5000	1.6000	30	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
assassin_bodyguard2	man	1.5000	5.4000	5.0000	6.0000	6.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	100.0000	1.5000	120	180.0000	0	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	25	25	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
assassin_bodyguard2_main	man	1.5000	5.4000	5.0000	6.0000	6.0000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	800.0000	1.8000	360.0000	180.0000	1750	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	2.0000	infantry_light_effects	70	40	0.0000	true	0.8000	0.9000	1	wh_main_generic_character_aura		0.5000	1.6000	30	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
assassin_bodyguard3	man	1.5000	5.4000	5.0000	6.0000	6.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	150.0000	1.5000	120	180.0000	0	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	60	20	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
assassin_bodyguard3_main	man	1.5000	5.4000	5.0000	6.0000	6.0000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	800.0000	1.8000	360.0000	180.0000	1775	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	2.0000	infantry_light_effects	70	40	0.0000	true	0.8000	0.9000	1	wh_main_generic_character_aura		0.5000	1.6000	30	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
assassin_bodyguard4	man	1.5000	5.4000	5.0000	6.0000	6.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	150.0000	1.5000	120	180.0000	0	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	60	20	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
assassin_bodyguard4_main	man	1.5000	5.4000	5.0000	6.0000	6.0000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	800.0000	1.8000	360.0000	180.0000	1775	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	2.0000	infantry_light_effects	70	40	0.0000	true	0.8000	0.9000	1	wh_main_generic_character_aura		0.5000	1.6000	30	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
banshee_bodyguard1	giant	2.0000	6.0000	4.0000	4.0000	6.8000	35.0000	30.0000	30.0000	0.6500	circle	1.0000	800.0000	2.1000	120	180.0000	0	true	true	0.0000	8.5000	12.0000	small	1.0000	ignore	wh_human_male	2.0000	ethereal_effects	100	100	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
