key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!!firing_arc_120_compat_derpy_chd_units																																																								
derpy_chd_gp_turret_large	turret	0.0000	0.0000	0.0000	6.0000	8.4000	50.0000	40.0000	40.0000	1.3000	circle	1.0000	100.0000	1.0000	270.0000	5.0000	0	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation	wh_main_vehicle_steam_turret	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	50			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
derpy_chd_gp_turret_med	turret	0.0000	0.0000	0.0000	6.0000	8.4000	50.0000	40.0000	40.0000	1.3000	circle	1.0000	100.0000	1.0000	270.0000	20.0000	0	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation	wh_main_vehicle_steam_turret	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	50			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
derpy_chd_gp_turret_small	turret	0.0000	0.0000	0.0000	6.0000	8.4000	50.0000	40.0000	40.0000	1.3000	circle	1.0000	100.0000	1.0000	270.0000	40.0000	0	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation	wh_main_vehicle_steam_turret	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	50			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
derpy_gp_chd_cannon	artillery	1.6000	4.8000	3.0000	6.0000	8.4000	50.0000	40.0000	40.0000	1.3000	circle	1.0000	100.0000	1.0000	120.0000	0.0000	0	false	false	2.5000	0.0000	0.0000	large	1.0000	ignore	wh3_dlc23_chd_iron_daemon	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	3			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
derpy_gp_turtle_tank	artillery	1.0000	1.6000	0.2000	1.0000	2.0000	35.0000	30.0000	30.0000	5.0000	capsule	1.0000	8000.0000	5.0000	0.0000	8.0000	0	true	false	1.5000	0.0000	0.0000	very_large	0.7000	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	-0.2000	false	1.0000	0.1000	1000			0.5000	1.4500	3	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		true
derpy_gp_turtle_tank_articulation_med	chariot	1.0000	2.5000	1.0000	1.0000	2.0000	35.0000	30.0000	30.0000	3.0000	capsule	1.0000	8000.0000	3.0000	0.0000	8.0000	0	true	false	1.5000	0.0000	0.0000	very_large	0.7000	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	0.1000	1000			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false
derpy_gp_turtle_tank_articulation_slow	chariot	1.0000	1.6000	0.2000	1.0000	2.0000	35.0000	30.0000	30.0000	3.0000	capsule	1.0000	8000.0000	3.0000	120.0000	8.0000	0	true	false	1.5000	0.0000	0.0000	very_large	0.7000	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	0.1000	1000			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false
derpy_gp_turtle_tank_hidden	horse	1.0000	1.6000	0.2000	1.0000	2.0000	35.0000	30.0000	30.0000	5.0000	capsule	1.0000	8000.0000	5.0000	0.0000	8.0000	0	true	false	1.5000	0.0000	0.0000	very_large	0.7000	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	0.1000	1000			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		true
derpy_gp_turtle_tank_med	artillery	1.0000	2.5000	1.0000	1.0000	2.0000	35.0000	30.0000	30.0000	5.0000	capsule	1.0000	8000.0000	5.0000	360.0000	8.0000	0	true	false	1.5000	0.0000	0.0000	very_large	0.7000	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	-0.2000	false	1.0000	0.1000	1000			0.5000	1.4500	3	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		true
derpy_gp_turtle_tank_med_hidden	horse	1.0000	2.5000	1.0000	1.0000	2.0000	35.0000	30.0000	30.0000	5.0000	capsule	1.0000	8000.0000	5.0000	0.0000	8.0000	0	true	false	1.5000	0.0000	0.0000	very_large	0.7000	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	0.1000	1000			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		true
chd_chassis_towed	artillery	1.0000	2.0000	0.7000	10.0000	3.0000	35.0000	30.0000	30.0000	5.6000	capsule	0.3200	5000.0000	2.0000	360.0000	30.0000	1200	true	false	1.5000	0.0000	0.0000	large	0.7000	rotation	wh3_dlc23_chd_dreadquake_mortar_chassis_towed	6.0000	artillery_effects	0	0	-0.2000	false	1.0000	0.2500	20			0.5000	1.4500	1	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false
chd_deathshrieker_rocket_launcher_towed	artillery	1.0000	2.0000	0.7000	10.0000	3.0000	35.0000	30.0000	30.0000	3.8000	capsule	0.5500	5000.0000	2.5000	360.0000	30.0000	1000	true	false	1.5000	0.0000	0.0000	large	0.7000	rotation	wh3_dlc23_chd_death_shrieker_towed	6.0000	artillery_effects	0	0	0.0000	false	1.0000	0.2500	20			0.9000	1.1000	1	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false
chd_hidden_mount_long_train	horse	1.6000	2.2000	0.7000	10.0000	8.4000	50.0000	40.0000	40.0000	1.0000	capsule	1.0000	5000.0000	1.0000	360.0000	30.0000	0	true	false	1.5000	0.0000	0.0000	large	0.7000	rotation	wh2_chariot_articulation	6.0000	artillery_effects	0	0	0.0000	false	1.0000	0.2500	20			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false
