key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!!firing_arc_120_compat_ghs_great_harmony
cth_agate_crowman	man	1.5000	4.5000	6.0000	8.0000	5.2000	30.0000	25.0000	25.0000	0.7000	circle	1.0000	200.0000	1.8000	0.0000	140.0000	8	true	true	0.0000	7.8000	10.0000	small	1.0000	ignore	wh3_main_infantry_furies	0.0000	hovering_effects	30	0	0.0000	false	1.2000	0.9500	1			0.5000	1.6000	0	false		false	false	wh_main_unit_artillery_footstep	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
cth_armour_warpanda	horse	2.3000	7.0000	5.0000	6.0000	10.0000	40.0000	35.0000	30.0000	1.8000	capsule	0.5500	1700.0000	2.0000	120	60.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh3_ksl_warbear	0.0000	cavalry_effects	50	50	0.0000	false	0.8000	0.7500	3			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
cth_black_snow_guard	man	1.6000	3.0000	4.0000	4.0000	3.5000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	125.0000	1.9000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	40	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	10	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
cth_cav_celestial_crossbow_rider	man	1.5000	3.3000	2.0000	4.0000	4.5000	35.0000	30.0000	35.0000	0.6000	circle	1.0000	100.0000	1.8000	360.0000	90.0000	8	true	true	0.0000	0.0000	0.0000	medium	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	false	1.0000	0.9000	2			0.5000	1.6000	2	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
cth_cav_jade_crossbow_rider	man	1.5000	3.3000	2.0000	4.0000	4.5000	35.0000	30.0000	35.0000	0.6000	circle	1.0000	100.0000	1.8000	360.0000	90.0000	8	true	true	0.0000	0.0000	0.0000	medium	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	false	1.0000	0.9000	2			0.5000	1.6000	2	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
cth_cav_naogao_fire_lance	man	1.5000	3.3000	2.0000	4.0000	4.5000	35.0000	30.0000	30.0000	0.6000	circle	1.0000	100.0000	1.8000	120	60.0000	8	true	true	0.0000	0.0000	0.0000	medium	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	2			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
cth_dark_warchariot	man	1.4000	3.3000	2.0000	3.0000	4.5000	35.0000	30.0000	30.0000	0.6000	circle	1.0000	50.0000	1.8000	360.0000	90.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	3.0000	infantry_light_effects	0	0	0.0000	false	1.0000	0.9000	2			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
cth_dark_warchariot_true	horse	1.5000	7.2000	6.0000	6.0000	10.7000	45.0000	35.0000	25.0000	2.5000	capsule	0.3500	1250.0000	1.8000	360.0000	60.0000	8	true	true	2.8000	0.0000	0.0000	large	1.0000	rotation	wh_chariot_metal	3.0000	artillery_effects	20	20	0.0000	false	1.0000	0.8000	20			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
cth_dragon_turtle_slow	giant	1.4000	3.3000	2.5000	4.0000	9.0000	45.0000	42.0000	30.0000	9.0000	capsule	0.4500	10000.0000	18.0000	120	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh_dlc_dragon_ogre_large	6.0000	giant_effects	80	60	0.7500	false	1.1500	0.7500	5			0.3000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
