key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!!firing_arc_120_compat_ovn_dread_king
elo_skeletal_giant	giant	2.6000	3.9000	3.0000	4.0000	5.0000	35.0000	30.0000	30.0000	2.4000	circle	1.0000	6500.0000	9.0000	120	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	ignore	wh_giant	6.0000	giant_effects	40	40	0.0000	false	0.8000	0.7500	5			0.3000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
elo_mummies_infantry	man	1.3000	2.7000	2.0000	3.0000	3.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	150.0000	1.8000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_zombie	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	2			0.5000	1.6000	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
dread_skeletal_elephant	giant	2.6000	5.5000	3.5000	4.0000	8.4000	40.0000	30.0000	30.0000	5.5000	capsule	0.5500	6000.0000	6.7000	120	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation_x	none	6.0000	giant_effects	20	20	0.0000	false	0.9000	0.7500	5			0.5000	1.4500	2	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
dread_skeletal_elephant_general	giant	2.6000	5.5000	3.5000	4.0000	8.4000	40.0000	30.0000	30.0000	5.5000	capsule	0.5500	6500.0000	7.0000	120	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation_x	none	6.0000	giant_effects	20	20	0.0000	false	0.9000	0.7500	5			0.5000	1.4500	2	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
dread_flying_pegasus_hero	giant	2.0000	8.2000	6.0000	10.0000	10.8000	35.0000	35.0000	35.0000	1.4000	ellipse	0.4000	1300.0000	2.0000	120.0000	120.0000	8	true	true	1.0000	10.5000	13.0000	medium	1.0000	rotation_x	wh_horse_pegasus	0.0000	ethereal_effects	60	30	0.0000	false	1.1000	0.8500	3			0.0000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	70	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
dread_monster_bone_hydra	giant	3.3000	4.6000	5.0000	7.0000	5.5000	35.0000	30.0000	30.0000	4.3000	capsule	0.5500	4500.0000	4.5000	120	100.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh2_dragon_large_hydra	6.0000	giant_effects	30	30	0.0000	false	1.0000	0.7500	5			0.3000	1.4500	29	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
dread_screaming_skull_ballista	artillery	2.0000	2.0000	2.0000	3.0000	2.0000	30.0000	20.0000	20.0000	2.1000	capsule	0.5000	3000.0000	2.1000	120	45.0000	425	false	false	0.0000	0.0000	0.0000	very_large	1.2000	rotation	wh2_wm_screaming_skull_catapult	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.7500	5		grn_doom_diver	0.5000	1.4500	0	false	composite_scene\porthole\tmb_screaming_skull_catapult_porthole_01.csc	false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false
dread_mon_minotaur	giant	2.3000	6.2000	5.0000	5.0000	8.6000	45.0000	35.0000	35.0000	1.1000	ellipse	0.9000	1440.0000	3.5000	120	90.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	none	5.0000	monstrous_infantry_effects	30	30	0.0000	false	0.8000	0.8000	4			0.5000	1.6000	1	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
dread_cavalry_black_grail_heavy	horse	2.0000	8.4000	6.0000	7.0000	10.8000	40.0000	35.0000	35.0000	1.4000	ellipse	0.5000	1200.0000	2.0000	360.0000	100.0000	8	true	true	1.0000	0.0000	0.0000	medium	3.0000	rotation_x	wh_horse_normal	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
