key	text	tooltip
#Loc;1;text/@@zerooz_cathy_army.loc		
land_units_onscreen_name_cth_inf_dragon_guard_fighter	Celestial Dragon Guard (Swords)	true
unit_description_short_texts_text_cth_inf_dragon_guard_fighter	One of the main forces of the Celestial Army, these soldiers are the blade of the Dragon Emperor's elite.	true
land_units_onscreen_name_cth_inf_god_guard_fighter	Celestial Dragon Vanguard	true
unit_description_short_texts_text_cth_inf_god_guard_fighter	The Celestial Dragon Vanguard is invincible in battle, but they require the cover of crossbows and shields.	true
land_units_onscreen_name_cth_inf_thunderbolt_gunners	Thunderbolt Gunners	true
unit_description_short_texts_text_cth_inf_thunderbolt_gunners	The Thunderbolt Gunners are skilled in using firearms and relies on infantry in front to defend against enemies.	true
land_units_onscreen_name_cth_inf_pioneer_scouts	Peasant Scouts	true
unit_description_short_texts_text_cth_inf_pioneer_scouts	Peasant Scouts excel at ambushes, striking first and making it impossible for the enemy to find them.	true
land_units_onscreen_name_cth_mon_terracotta_sentinels_small	Terracotta Guardians	true
unit_description_short_texts_text_cth_mon_terracotta_sentinels_small	When grouped together, these Terracotta soldiers are unstoppable, capable of overwhelming any enemy with their sheer power.	true
land_units_onscreen_name_cth_thunder_attack_gunners	Golden Crow Handgunners	true
unit_description_short_texts_text_cth_thunder_attack_gunners	Forged by the blacksmiths of Nan-Gau, these firearms can destroy enemies from a thousand miles away. The elite troops of Changyuan are unmatched in their accuracy.	true
land_units_onscreen_name_cth_cav_celestial_mighty_axe_guard	Celestial Dragon Axes	true
unit_description_short_texts_text_cth_cav_celestial_mighty_axe_guard	The Celestial Dragon Axes carries out the Dragon Emperor's mission with iron resolve, swearing to defend Cathay to the death, though their skills are still developing, relying on a limited number of powerful strikes.	true
land_units_onscreen_name_cth_inf_jade_warrior_halberd_shield	Great Bastion Custodians	true
unit_description_short_texts_text_cth_inf_jade_warrior_halberd_shield	 The soul of Changyuan in Cathay, these troops form impenetrable shield walls and spear formations that no enemy dares to break through.	true
land_units_onscreen_name_cth_cav_jade_crossbow_rider	Mounted Jade Crossbowmen	true
unit_description_short_texts_text_cth_cav_jade_crossbow_rider	Swift as the wind, calm as the forest, fierce as fire, and unmovable as a mountain.	true
land_units_onscreen_name_cth_cav_celestial_crossbow_rider	Mounted Celestial Dragon Crossbowmen	true
unit_description_short_texts_text_cth_cav_celestial_crossbow_rider	The elite troops of the Dragon Emperor, veterans of countless battles, and the best of the cavalry.	true
land_units_onscreen_name_cth_inf_dragon_tiger_guard	Celestial Jinwu Guard	true
unit_description_short_texts_text_cth_inf_dragon_tiger_guard	The Dragon Emperor's elite guard, skilled at combating infantry, but struggle against large beasts.	true
land_units_onscreen_name_cth_cav_jade_longma_crassbow_rider	Jade Longma Crossbowmen	true
unit_description_short_texts_text_cth_cav_jade_longma_crassbow_rider	Equipped with the divine weapons of Nan-Gau, they can rain arrows upon their enemies.	true
land_units_onscreen_name_cth_inf_jade_warrior_great_sword	Jade Warriors (Greatswords)	true
unit_description_short_texts_text_cth_inf_jade_warrior_great_sword	The use of the great sword is the opposite of spear and shield. It reveals its full potential when positioned at the back of the formation.	true
land_units_onscreen_name_cth_inf_dual_jian	Celestal Dragon Guard (Sword Breakers)	true
unit_description_short_texts_text_cth_inf_dual_jian	The Celestal Dragon Guard wields dual maces and excels at breaking through heavy armor.	true
land_units_onscreen_name_cth_inf_bian	Celestal Dragon Demon Slayers	true
unit_description_short_texts_text_cth_inf_bian	Those who wield the iron whip can strike down demons and break through evil forces, unmatched by any.	true
land_units_onscreen_name_cth_inf_dual_hammer	Celestal Dragon Guard (Dual Hammers)	true
unit_description_short_texts_text_cth_inf_dual_hammer	Those who wield dual hammers are as strong as gods, possessing immense power. With the strength of four elephants, they can crush iron as if it were mud, surpassing even the strength of the legendary Xiang Yu.	true
land_units_onscreen_name_cth_inf_gouxiang	Hook Shield Guard	true
unit_description_short_texts_text_cth_inf_gouxiang	Wielding hook-claws in battle, they can defend against slashing attacks, but without armor, they must avoid enemy arrows.	true
land_units_onscreen_name_cth_cav_xiaoguojun	Xiaoguo Guard	true
unit_description_short_texts_text_cth_cav_xiaoguojun	The Xiaoguo Guard is the imperial guard of Weijing, skilled in wielding the lance and fighting on horseback, capable of taking on ten enemies at once.	true
land_units_onscreen_name_cth_cav_nangao_fire_lance	Nan-Gau Fire Lancers	true
unit_description_short_texts_text_cth_cav_nangao_fire_lance	The craftsmen of Nan-Gau have created the divine weapons of this era. Demons flee at their sight.	true
