key	text	tooltip
#Loc;1;text/@@zerooz_tze_ability.loc		
unit_abilities_onscreen_name_tze_unit_abilities_black_crow	Black Crow	false
unit_abilities_tooltip_text_tze_unit_abilities_blackclow	Specializes in foresight, able to see upcoming events, providing various support to allies.	false
unit_abilities_onscreen_name_tze_unit_abilities_bright_feather	Bright Feather	false
unit_abilities_tooltip_text_tze_unit_abilities_bright_feather	Masters the Winds of Magic, allowing more efficient use of spells.	false
unit_abilities_onscreen_name_tze_unit_abilities_fire_phoenix	Fire Phoenix	false
unit_abilities_tooltip_text_tze_unit_abilities_fire_phoenix	Masters fire magic, imbuing melee attacks with fire damage, while also increasing armor-piercing damage.	false
unit_abilities_onscreen_name_tze_unit_abilities_hunting_eagle	Hunting Eagle	false
unit_abilities_tooltip_text_tze_unit_abilities_hunting_eagle	Masters magical shields, enhancing melee combat abilities.	false
unit_abilities_onscreen_name_tze_unit_abilities_heavens_owl	Heavens Owl	false
unit_abilities_tooltip_text_tze_unit_abilities_heavens_owl	Excels in mind-reading spells and swordsmanship, enhancing battlefield survivability.	false
unit_abilities_additional_ui_effects_localised_text_tze_unit_abilities_black_crow	Mutually exclusive with "Black Crow".	false
unit_abilities_additional_ui_effects_localised_text_tze_unit_abilities_bright_feather	Mutually exclusive with "Bright Feather".	false
unit_abilities_additional_ui_effects_localised_text_tze_unit_abilities_fire_phoenix	Mutually exclusive with "Fire Phoenix".	false
unit_abilities_additional_ui_effects_localised_text_tze_unit_abilities_hunting_eagle	Mutually exclusive with "Hunting Eagle".	false
unit_abilities_additional_ui_effects_localised_text_tze_unit_abilities_heavens_owl	Mutually exclusive with "Heavens Owl".	false
effects_description_effect_unit_cap_tza_inf_change_of_thousand_sons	Unit Capacity: Change of Thousand Sons %+n	false
effects_description_effect_province_merc_capacity_tzaangors_archer_tze	Local Mercenary Recruitment: Tzaangors (Earthfire Archers) Capacity %+n	false
effects_description_effect_province_merc_capacity_tza_cav_doom_tzaangors_archer_tze	Local Mercenary Recruitment: Tzaangors (Doomfire Archers) Capacity %+n	false
effects_description_effect_province_merc_capacity_tza_cav_doom_tzaangors_tze	Local Mercenary Recruitment: Tzaangors (Enlightened) Capacity %+n	false
