key	text	tooltip
#Loc;1;text/!!!cth_shenjiying_unit.loc		
land_units_onscreen_name_cth_east_mingqing_gunner_shenji	Thunderclap Arquebusiers	false
unit_description_short_texts_text_wh3_main_unit_short_text_cth_east_mingqing_gunner_shenji	Firing volleys like thunder, they pulverize everything in their path.	false
unit_description_historical_texts_text_cth_east_mingqing_gunner_shenji	The massive trade ports of the Eastern River Lords often circulate large quantities of firearms for import and export, deeply influencing the tactical styles of the garrison troops. Before Nan-Gau rose as the industrial titan of Cathay, old-style firearms from workshops in Fu-Chow and Beichai played pivotal roles in battles across the land. Even today, the doctrine of overwhelming firepower dominates the strategies of the Eastern border armies and naval forces.\\n\\nThe Thunderclap Arquebusiers are elite marksmen, bearing heavy ammunition and siege materials while mastering battlefield maintenance of their arquebuses. Though maintaining such an elite firearm unit is costly, their unparalleled firepower ensures their enduring popularity.	false
land_units_onscreen_name_cth_north_suitang_peasant_shuzu_1	Garrison Spear Archers	false
unit_description_short_texts_text_wh3_main_unit_short_text_cth_north_suitang_peasant_shuzu_1	These archers are equipped with spears, making them effective against light cavalry harassment.	false
unit_description_historical_texts_text_cth_north_suitang_peasant_shuzu_1	In response to the growing threat to the Great Bastion, the Northern Provinces established numerous garrisons around the bastion as extensions of its defensive line. Soldiers stationed here face far greater dangers than ordinary conscripts. Only carefully selected militia families are assigned to these posts, undergoing rigorous training and receiving higher-quality armor and weapons.\\n\\nSpear Archers are chosen from the best marksmen among the militia. They wield heavy longbows to their maximum potential, while also training in spear combat, making them less reliant on melee support from allies.	false
land_units_onscreen_name_cth_north_suitang_peasant_shuzu_2	Garrison Blade Crossbowmen	false
unit_description_short_texts_text_wh3_main_unit_short_text_cth_north_suitang_peasant_shuzu_2	Compared to peasant levies, these soldiers are better trained to defend the northern frontier.	false
unit_description_historical_texts_text_cth_north_suitang_peasant_shuzu_2	In response to the growing threat to the Great Bastion, the Northern Provinces established numerous garrisons around the bastion as extensions of its defensive line. Soldiers stationed here face far greater dangers than ordinary conscripts. Only carefully selected militia families are assigned to these posts, undergoing rigorous training and receiving higher-quality armor and weapons.\\n\\nBlade Crossbowmen, as one of the most versatile units, serve prominently in the bastion’s fortifications. They are adept in wielding curved blades and heavy crossbows, often serving as the backbone of the defense line.	false
land_units_onscreen_name_cth_north_suitang_jade_shuwei_1	Jade Bastion Guards (Mace)	false
