key	text	tooltip
#Loc;1;text/@@@DEER24Cathay/db/!!!!wwd_character.loc		
land_units_onscreen_name_LX0	"Divinely Appointed" Yun Xiang	true
land_units_onscreen_name_LX1	"Divinely Appointed" Yun Xiang	true
land_units_onscreen_name_LX_horse	"Divinely Appointed" Yun Xiang	true
names_name_624400001	"Divinely Appointed" Yun Xiang	true
ancillaries_onscreen_name_LX_DEER_arcane_item	Celestial Coins	true
ancillaries_onscreen_name_LX_DEER_armour	Golden Pavilion Dragon Armor	true
ancillaries_onscreen_name_LX_DEER_enchanted_item	Emperor's Tiger Seal	true
ancillaries_onscreen_name_LX_DEER_weapon	Mountainbreaker	true
ancillaries_onscreen_name_LX_DEER_talisman	Harmony Jade Ring	true
character_skills_localised_name_LX_DEER_arcane_item	Celestial Coins	true
character_skills_localised_name_LX_DEER_armour	Golden Pavilion Dragon Armor	true
character_skills_localised_name_LX_DEER_weapon	Mountainbreaker	true
character_skills_localised_name_LX_DEER_talisman	Harmony Jade Ring	true
character_skills_localised_name_wh3_main_skill_innate_JINJUNLX	Commander of the Forbidden Army	true
character_skills_localised_description_wh3_main_skill_innate_JINJUNLX	Yun Xiang is the mightiest champion under the Dragon Emperor. As one blessed by the Emperor, he has led the Forbidden Army of over a hundred elite soldiers, guarding the Imperial Highway for more than a century. Among Cathay’s greatest heroes, Yun Xiang’s unparalleled prowess marks him as a divine warrior.	true
character_skills_localised_name_wh3_main_skill_innate_LX_innate_1	First Among Dragons	true
character_skills_localised_name_wh3_main_skill_innate_LX_innate_2	Weapons of the Nine Provinces	true
character_skills_localised_name_wh3_main_skill_innate_LX_innate_3	Dragon-Blessed Physique	true
character_skills_localised_name_wh3_main_skill_innate_LX_innate_4	Walking with Dragons	true
character_skills_localised_name_wh3_main_skill_innate_LX_innate_5	Direct Overseer of Five Prefects	true
character_skills_localised_name_wh3_main_skill_innate_LX_innate_6	Royal Proxy	true
