key	text	tooltip
#Loc;1;text/!!!db/ghs_building_replace.loc		
advice_levels_onscreen_text_996478928	You are the guardian of Cathay's northern border, but Tzeentch's armies have breached the Snake Gate, defiling Cathayan lands. Restore your honor and destroy them!	true
advice_levels_onscreen_text_1218325707	Indeed, my lord, a rift has appeared at the Great Bastion. Tzeentch's forces have overrun the ruins of the Snake Gate and occupied the Terracotta Graveyard.	true
start_pos_settlements_onscreen_name_settlement:wh3_main_combi_region_snake_gate1514149480	Snake Gate	true
regions_onscreen_wh3_main_combi_region_snake_gate	Snake Gate	true
start_pos_settlements_onscreen_name_settlement:wh3_main_chaos_region_snake_gate1279361551	Snake Gate	true
regions_onscreen_wh3_main_chaos_region_snake_gate	Snake Gate	true
regions_battle_name_wh3_main_combi_region_snake_gate	Snake Gate	true
regions_battle_name_wh3_main_chaos_region_snake_gate	Snake Gate	true
missions_localised_description_wh3_main_camp_narrative_chaos_miao_ying_capture_snake_gate_01	The Turtle Gate has fallen into the hands of [[sl:campaign_chaos]]Chaos[[/sl]]! Reclaim this mighty bastion swiftly to safeguard the [[sl:campaign_cathay]]Celestial Empire[[/sl]]. It is your duty as a guardian of the Great Bastion!\\n\\n{{tr:hp_campaign_point_1_great_bastion}}\\n\\n{{tr:hp_campaign_great_bastion_learn_more}}	true
advice_levels_onscreen_text_1590378547	Such efforts are praiseworthy, but what’s next? I’m hungry, and those Cathayans cowering in the Turtle Gate must be delicious…	true
advice_levels_onscreen_text_1602198971	That is Cathay's Great Bastion. As per your plans, the servants of the Changer of Ways have seized the Snake Gate and infiltrated the Dragon Empire.	true
incidents_localised_description_wh3_main_incident_cth_bastion_threat_increases_snake	The threat level at the Great Bastion has increased! Chaos is gathering at the [[b]]Snake Gate[[/b]], and an attack is imminent!	true
incidents_localised_description_wh3_main_incident_cth_bastion_threat_increases_turtle	The threat level at the Great Bastion has increased! Chaos is gathering at the [[b]]Turtle Gate[[/b]], and an attack is imminent!	true
incidents_localised_description_wh3_main_incident_cth_bastion_threat_increases_dragon	The threat level at the Great Bastion has increased! Chaos is gathering at the [[b]]Dragon Gate[[/b]], and an attack is imminent!	true
ui_text_replacements_localised_text_hp_campaign_point_1_great_bastion	The Cathayan [[sl:campaign_factions]]factions[[/sl]] must hold the Snake Gate, Dragon Gate, and Turtle Gate to halt Chaos from invading Cathayan lands.	true
start_pos_settlements_onscreen_name_settlement:wh3_main_chaos_region_turtle_gate705002178	Turtle Gate	true
regions_battle_name_wh3_main_chaos_region_turtle_gate	Turtle Gate	true
regions_battle_name_wh3_main_combi_region_turtle_gate	Turtle Gate	true
start_pos_settlements_onscreen_name_settlement:wh3_main_combi_region_turtle_gate888839380	Turtle Gate	true
regions_onscreen_wh3_main_combi_region_turtle_gate	Turtle Gate	true
regions_onscreen_wh3_main_chaos_region_turtle_gate	Turtle Gate	true
start_pos_settlements_onscreen_name_settlement:wh3_main_chaos_region_dragon_gate1157443971	Dragon Gate	true
regions_battle_name_wh3_main_combi_region_dragon_gate	Dragon Gate	true
start_pos_settlements_onscreen_name_settlement:wh3_main_combi_region_dragon_gate1603703403	Dragon Gate	true
regions_onscreen_wh3_main_combi_region_dragon_gate	Dragon Gate	true
regions_battle_name_wh3_main_chaos_region_dragon_gate	Dragon Gate	true
regions_onscreen_wh3_main_chaos_region_dragon_gate	Dragon Gate	true
battles_localised_name_major_q_cth	Dragon Gate – Cathay	true
building_culture_variants_name_wh_main_special_settlement_wei_jin_1wh3_main_cth_cathay	Rising Dragon Land	false
building_culture_variants_name_wh_main_special_settlement_wei_jin_2wh3_main_cth_cathay	Glorious Sunrise	false
building_culture_variants_name_wh_main_special_settlement_wei_jin_3wh3_main_cth_cathay	Celestial Capital	false
building_culture_variants_name_wh_main_special_settlement_wei_jin_4wh3_main_cth_cathay	Imperial Capital	false
building_culture_variants_name_wh_main_special_settlement_wei_jin_5wh3_main_cth_cathay	Majestic Metropolis	false
building_short_description_texts_short_description_wh_main_special_settlement_wei_jin_1	This tower stands at the heart of Cathay, a beacon of the Dragon Emperor's glory.	false
building_short_description_texts_short_description_wh_main_special_settlement_wei_jin_2	Thick walls and towering spires form an impenetrable fortress.	false
building_short_description_texts_short_description_wh_main_special_settlement_wei_jin_3	Grand palaces symbolize wealth and the supreme authority of the Celestial Dragon Emperor.	false
building_short_description_texts_short_description_wh_main_special_settlement_wei_jin_4	The Heavenly City stands above the capital, a radiant symbol of Cathay’s glory, inspiring reverence among all.	false
building_short_description_texts_short_description_wh_main_special_settlement_wei_jin_5	'Majestic' falls short of describing this world-renowned city’s splendor—a home of endless wonders and the Dragon Emperor's throne.	false
building_short_description_texts_short_description_wh_main_special_settlement_wei_jin_ruin	Once the most magnificent city in existence, Wei Jin now lies in ruins, its countless marvels buried beneath rubble and ash.	false
