key	text	tooltip
#Loc;1;text/!!!db/ghs_builing_jianrong.loc		
building_culture_variants_name_wh3_main_cth_jade_barracks_1wh3_main_cth_cathay	Training Grounds	true
building_culture_variants_name_wh3_main_cth_jade_barracks_2wh3_main_cth_cathay	Drill Yard	true
building_culture_variants_name_wh3_main_cth_jade_barracks_3wh3_main_cth_cathay	Fortress of Veterans	true
building_culture_variants_name_wh3_main_cth_celestial_1wh3_main_cth_cathay	Yu Lin Barracks	true
building_culture_variants_name_wh3_main_cth_celestial_2wh3_main_cth_cathay	Dragon Guard Citadel	true
building_short_description_texts_short_description_wh3_main_cth_jade_barracks_1	Local youths gather here for standardized drills in preparation for conscription.	true
building_short_description_texts_short_description_wh3_main_cth_jade_barracks_2	Practicing strikes and volleys with precision, though battlefield foes are not mere straw targets.	true
building_short_description_texts_short_description_wh3_main_cth_jade_barracks_3	Seasoned soldiers rotate on duty to train new recruits in preparation for war.	true
building_short_description_texts_short_description_wh3_main_cth_celestial_1	The Cathayan military formation is orderly and majestic, with armor gleaming under the sun, poised to strike.	true
building_short_description_texts_short_description_wh3_main_cth_celestial_2	The heroes of the Celestial Empire guard the Dragon Emperor, protecting the lives of its citizens.	true
building_culture_variants_name_wh3_main_cth_magic_tower_0wh3_main_cth_cathay	Hermit’s Retreat	true
building_culture_variants_name_wh3_main_cth_magic_tower_0.5wh3_main_cth_cathay	House of the Eight Winds	true
building_culture_variants_name_wh3_main_cth_magic_tower_1wh3_main_cth_cathay	Mage Tower	true
building_culture_variants_name_wh3_main_cth_magic_tower_2wh3_main_cth_cathay	Arcane High Court	true
building_culture_variants_name_wh3_main_cth_magic_tower_3wh3_main_cth_cathay	Tower of Mysteries	true
building_short_description_texts_short_description_wh3_main_cth_magic_tower_0	Secluded in nature, one may find enlightenment in the mysteries of the winds.	true
building_short_description_texts_short_description_wh3_main_cth_magic_tower_0.5	This residence welcomes sages and scholars, recruiting talents from all lands.	true
building_short_description_texts_short_description_wh3_main_cth_magic_tower_1	Secrets of the stars lie within, while the tower's platform provides a view of celestial movements.	true
building_short_description_texts_short_description_wh3_main_cth_magic_tower_2	Numerous scholars delve tirelessly into the mysteries of the universe.	true
building_short_description_texts_short_description_wh3_main_cth_magic_tower_3	Atop the tower lies the Skylight Pavilion, capable of summoning sentinels to survey the world.	true
building_culture_variants_name_wh3_main_cth_gunners_0wh3_main_cth_cathay	Artisan’s Workshop	true
