key	text	tooltip
#Loc;1;text/!!!db/ghs_cathay_trade_resource.loc		
commodity_unit_names_plural_mei	Pieces	true
commodity_unit_names_plural_ke	Units	true
commodity_unit_names_plural_fang	Cubic Meters	true
commodity_unit_names_plural_tiao	Strips	true
commodity_unit_names_plural_jiao	Casks	true
commodity_unit_names_plural_hu	Bushels	true
commodity_unit_names_plural_kuai	Chunks	true
commodity_unit_names_plural_pi	Bolts	true
commodity_unit_names_plural_guan	Jars	true
commodity_unit_names_plural_shi	Stones	true
commodity_unit_names_plural_kuang	Baskets	true
commodity_unit_names_plural_ding	Ingots	true
commodity_unit_names_plural_zhu	Plants	true
commodity_unit_names_plural_kun	Bundles	true
commodity_unit_names_plural_shan	Screens	true
commodity_unit_names_plural_tou	Heads	true
commodity_unit_names_plural_weng	Urn	true
commodity_unit_names_plural_li	Grains	true
commodity_unit_names_plural_dai	Bags	true
commodity_unit_names_plural_pian	Flakes	true
commodity_unit_names_plural_zhang	Sheets	true
commodity_unit_names_plural_tong	Barrels	true
commodity_unit_names_plural_gen	Sticks	true
commodity_unit_names_plural_liang	Taels	true
commodity_unit_names_plural_chi	Pools	true
commodity_unit_names_plural_zun	Goblets	true
commodity_unit_names_plural_cang	Stores	true
commodity_unit_names_plural_ji	Scraps	true
commodity_unit_names_plural_yao	Kilns	true
commodity_unit_names_plural_juan	Rolls	true
commodity_unit_names_plural_zhi	Pieces	true
commodity_unit_names_plural_long	Cages	true
commodity_unit_names_singular_mei	Piece	true
commodity_unit_names_singular_ke	Unit	true
commodity_unit_names_singular_fang	Cubic Meter	true
commodity_unit_names_singular_tiao	Strip	true
commodity_unit_names_singular_jiao	Cask	true
commodity_unit_names_singular_hu	Bushel	true
commodity_unit_names_singular_kuai	Chunk	true
commodity_unit_names_singular_pi	Bolt	true
commodity_unit_names_singular_guan	Jar	true
commodity_unit_names_singular_shi	Stone	true
commodity_unit_names_singular_kuang	Basket	true
commodity_unit_names_singular_ding	Ingot	true
commodity_unit_names_singular_zhu	Plant	true
commodity_unit_names_singular_kun	Bundle	true
commodity_unit_names_singular_shan	Screen	true
commodity_unit_names_singular_tou	Head	true
commodity_unit_names_singular_weng	Urn	true
commodity_unit_names_singular_li	Grain	true
commodity_unit_names_singular_dai	Bag	true
commodity_unit_names_singular_pian	Flake	true
commodity_unit_names_singular_zhang	Sheet	true
commodity_unit_names_singular_tong	Barrel	true
commodity_unit_names_singular_gen	Stick	true
commodity_unit_names_singular_liang	Tael	true
commodity_unit_names_singular_chi	Pool	true
commodity_unit_names_singular_zun	Goblet	true
commodity_unit_names_singular_cang	Store	true
commodity_unit_names_singular_ji	Scrap	true
commodity_unit_names_singular_yao	Kiln	true
commodity_unit_names_singular_juan	Roll	true
commodity_unit_names_singular_zhi	Piece	true
commodity_unit_names_singular_long	Cage	true
resources_onscreen_text_cathay_ghs_yu	Flawless Jade	true
resources_onscreen_text_cathay_ghs_liangsha	Fragrant Yun Brocade	true
resources_onscreen_text_cathay_ghs_wood_1	Fragrant Purple Sandalwood	true
resources_onscreen_text_cathay_ghs_wood	Building Timber	true
resources_onscreen_text_cathay_ghs_wine	Fine Grape Wine	true
resources_onscreen_text_cathay_ghs_whale	Ambergris Pearl	true
resources_onscreen_text_cathay_ghs_stone_1	The Great Bastion Stone	true
resources_onscreen_text_cathay_ghs_stone	White Marble	true
resources_onscreen_text_cathay_ghs_silk	Mulberry Silk	true
resources_onscreen_text_cathay_ghs_salt_1	Sea White Crystals	true
resources_onscreen_text_cathay_ghs_salt	Refined Salt	true
resources_onscreen_text_cathay_ghs_plant	Fresh Produce	true
resources_onscreen_text_cathay_ghs_mithril	Mithril Platinum	true
resources_onscreen_text_cathay_ghs_medi_1	Immortal Lingzhi	true
resources_onscreen_text_cathay_ghs_medi	Chinese Herbs	true
resources_onscreen_text_cathay_ghs_meat	Fresh Meat	true
resources_onscreen_text_cathay_ghs_meat_1	Royal Livestock	true
resources_onscreen_text_cathay_ghs_spice	Eastern Spices	true
resources_onscreen_text_cathay_ghs_spice_1	Saffron Threads	true
resources_onscreen_text_cathay_ghs_iron_1	Hundred-Forged Meteor Steel	true
resources_onscreen_text_cathay_ghs_iron	Low-Carbon Steel Ingots	true
resources_onscreen_text_cathay_ghs_gold	Refined Gold	true
resources_onscreen_text_cathay_ghs_glass_1	Mystic Crystals	true
resources_onscreen_text_cathay_ghs_glass	Obsidian Stone	true
resources_onscreen_text_cathay_ghs_gem	Prismatic Gems	true
resources_onscreen_text_cathay_ghs_fur_1	Autumn Dragon Scales	true
resources_onscreen_text_cathay_ghs_fur	Exotic Leather	true
resources_onscreen_text_cathay_ghs_fish	Fresh Seafood	true
resources_onscreen_text_cathay_ghs_fang	Dragon Fangs	true
resources_onscreen_text_cathay_ghs_dye_1	Shellfish Dyes	true
resources_onscreen_text_cathay_ghs_dye	Color Sand Dyes	true
resources_onscreen_text_cathay_ghs_dukang	Exquisite Liquor	true
resources_onscreen_text_cathay_ghs_crop	Grain and Fodder	true
resources_onscreen_text_cathay_ghs_china_1	Inlaid Porcelain	true
resources_onscreen_text_cathay_ghs_china	Ceramics	true
resources_onscreen_text_cathay_ghs_bu	Textile Fabrics	true
resources_onscreen_text_cathay_ghs_bone	Giant Beast Tusks	true
resources_onscreen_text_cathay_ghs_beer	Dwarven Ale	true
resources_onscreen_text_cathay_ghs_animal_1	Exotic Hatchlings	true
resources_onscreen_text_cathay_ghs_animal	Exotic Livestock	true
