key	text	tooltip
#Loc;1;text/!!!db/ghs_def_lores_sorceress.loc		
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_life_dark_steed	Dark Steed	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_life_cold_one	Cold One	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_life_dark_pegasus	Dark Pegasus	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_life_dark_steed	No longer true horses, these once-pristine elven steeds have been corrupted by dark magic into pitch-black killers.	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_life_cold_one	Native to Naggaroth, these dark and ferocious beasts emerge from their dank nests to carry the Druchii into battle.	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_life_dark_pegasus	Corrupted pegasi have flown south from the Chaos Wastes to Naggaroth's Iron Mountains, where they now nest.	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_light_dark_steed	Dark Steed	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_light_cold_one	Cold One	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_light_dark_pegasus	Dark Pegasus	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_light_dark_steed	No longer true horses, these once-pristine elven steeds have been corrupted by dark magic into pitch-black killers.	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_light_cold_one	Native to Naggaroth, these dark and ferocious beasts emerge from their dank nests to carry the Druchii into battle.	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_light_dark_pegasus	Corrupted pegasi have flown south from the Chaos Wastes to Naggaroth's Iron Mountains, where they now nest.	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_heavens_dark_steed	Dark Steed	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_heavens_cold_one	Cold One	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_heavens_dark_pegasus	Dark Pegasus	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_heavens_dark_steed	No longer true horses, these once-pristine elven steeds have been corrupted by dark magic into pitch-black killers.	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_heavens_cold_one	Native to Naggaroth, these dark and ferocious beasts emerge from their dank nests to carry the Druchii into battle.	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_heavens_dark_pegasus	Corrupted pegasi have flown south from the Chaos Wastes to Naggaroth's Iron Mountains, where they now nest.	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_metal_dark_steed	Dark Steed	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_metal_cold_one	Cold One	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_sorceress_metal_dark_pegasus	Dark Pegasus	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_metal_dark_steed	No longer true horses, these once-pristine elven steeds have been corrupted by dark magic into pitch-black killers.	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_metal_cold_one	Native to Naggaroth, these dark and ferocious beasts emerge from their dank nests to carry the Druchii into battle.	true
ancillaries_colour_text_ghs_main_anc_mount_def_sorceress_metal_dark_pegasus	Corrupted pegasi have flown south from the Chaos Wastes to Naggaroth's Iron Mountains, where they now nest.	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_life_dark_steed	Dark Steed	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_life_cold_one	Cold One	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_life_dark_pegasus	Dark Pegasus	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_life_manticore	Manticore	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_life_black_dragon	Black Dragon	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_life_dark_steed	No longer true horses, these once-pristine elven steeds have been corrupted by dark magic into pitch-black killers.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_life_cold_one	Native to Naggaroth, these dark and ferocious beasts emerge from their dank nests to carry the Druchii into battle.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_life_dark_pegasus	Corrupted pegasi have flown south from the Chaos Wastes to Naggaroth's Iron Mountains, where they now nest.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_life_manticore	The roar of a manticore is enough to send mortal creatures fleeing, for they know a fearsome predator is near.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_life_black_dragon	Black Dragons are the secret creations of Malekith, their bodies infused with dark magic for corruption and power.	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_light_dark_steed	Dark Steed	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_light_cold_one	Cold One	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_light_dark_pegasus	Dark Pegasus	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_light_manticore	Manticore	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_light_black_dragon	Black Dragon	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_light_dark_steed	No longer true horses, these once-pristine elven steeds have been corrupted by dark magic into pitch-black killers.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_light_cold_one	Native to Naggaroth, these dark and ferocious beasts emerge from their dank nests to carry the Druchii into battle.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_light_dark_pegasus	Corrupted pegasi have flown south from the Chaos Wastes to Naggaroth's Iron Mountains, where they now nest.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_light_manticore	The roar of a manticore is enough to send mortal creatures fleeing, for they know a fearsome predator is near.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_light_black_dragon	Black Dragons are the secret creations of Malekith, their bodies infused with dark magic for corruption and power.	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_heavens_dark_steed	Dark Steed	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_heavens_cold_one	Cold One	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_heavens_dark_pegasus	Dark Pegasus	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_heavens_manticore	Manticore	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_heavens_black_dragon	Black Dragon	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_heavens_dark_steed	No longer true horses, these once-pristine elven steeds have been corrupted by dark magic into pitch-black killers.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_heavens_cold_one	A native beast of Naggaroth, dark and ferocious. They emerge from their warm, damp nests to carry the Druchii into battle.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_heavens_dark_pegasus	Corrupted pegasi have flown south from the Chaos Wastes to Naggaroth's Iron Mountains, where they now nest.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_heavens_manticore	The roar of a manticore is enough to send mortal creatures fleeing, for they know a fearsome predator is near.	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_heavens_black_dragon	Black Dragons are Malekith's secret creations, their bodies infused with dark magic for corruption and power.	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_metal_dark_steed	Dark Steed	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_metal_cold_one	Cold One	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_metal_dark_pegasus	Dark Pegasus	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_metal_manticore	Manticore	true
ancillaries_onscreen_name_ghs_main_anc_mount_def_supreme_sorceress_metal_black_dragon	Black Dragon	true
ancillaries_colour_text_ghs_main_anc_mount_def_supreme_sorceress_metal_dark_steed	No longer true horses, these once-pristine elven steeds have been corrupted by dark magic into pitch-black killers.	true
