key	text	tooltip
#Loc;1;text/!!!db/ghs_kho_blood_magic.loc		
unit_abilities_onscreen_name_kho_blood_magic_passive_anti_missile	Skull Throne Mandate	true
unit_abilities_tooltip_text_kho_blood_magic_passive_anti_missile	When the seas turn to blood and mountains are obscured by skull piles, our glory shall be revealed.	true
unit_abilities_onscreen_name_kho_cultist_magic_passive_bloom	Blood God's Glimpse	true
unit_abilities_tooltip_text_kho_cultist_magic_passive_bloom	Even the most fleeting glance causes enemies to tremble as if their souls were being ripped from their bodies.	true
unit_abilities_onscreen_name_kho_blood_magic_passive_cooldown	Hymn of Skulls	true
unit_abilities_tooltip_text_kho_blood_magic_passive_cooldown	This is our hunting ground, filled with prey to be slaughtered. We are the singers of bloody ballads!	true
unit_abilities_onscreen_name_kho_blood_magic_brass_fortress	Brass Citadel	true
unit_abilities_tooltip_text_kho_blood_magic_brass_fortress	The endless blood of war opens the gates to Khorne's realm, drawing all beings into the Brass Citadel for his trials!	true
unit_abilities_onscreen_name_kho_blood_magic_brass_fortress_upgraded	Advanced Brass Citadel	true
unit_abilities_tooltip_text_kho_blood_magic_brass_fortress_upgraded	The endless blood of war opens the gates to Khorne's realm, drawing all beings into the Brass Citadel for his trials!	true
unit_abilities_onscreen_name_kho_blood_magic_brass_fortress_bound	Brass Citadel	true
unit_abilities_tooltip_text_kho_blood_magic_brass_fortress_bound	The endless blood of war opens the gates to Khorne's realm, drawing all beings into the Brass Citadel for his trials!	true
unit_abilities_onscreen_name_kho_blood_magic_great_tempest	Chainblade Tempest	true
unit_abilities_tooltip_text_kho_blood_magic_great_tempest	With a single point of Khorne's finger, endless chainblades wrap around cowardly flyers, tearing their wings and faith apart.	true
unit_abilities_onscreen_name_kho_blood_magic_great_tempest_upgraded	Advanced Chainblade Tempest	true
unit_abilities_tooltip_text_kho_blood_magic_great_tempest_upgraded	With a single point of Khorne's finger, endless chainblades wrap around cowardly flyers, tearing their wings and faith apart.	true
unit_abilities_onscreen_name_kho_blood_magic_great_tempest_bound	Chainblade Tempest	true
unit_abilities_tooltip_text_kho_blood_magic_great_tempest_bound	With a single point of Khorne's finger, endless chainblades wrap around cowardly flyers, tearing their wings and faith apart.	true
unit_abilities_onscreen_name_kho_blood_magic_khorne_foot	Khorne's Stomp	true
unit_abilities_tooltip_text_kho_blood_magic_khorne_foot	Our savagery and wrath spare neither friend nor foe. Cowardly maggots are unworthy of fighting for Khorne's glory!	true
unit_abilities_onscreen_name_kho_blood_magic_khorne_foot_upgraded	Advanced Khorne's Stomp	true
unit_abilities_tooltip_text_kho_blood_magic_khorne_foot_upgraded	Our savagery and wrath spare neither friend nor foe. Cowardly maggots are unworthy of fighting for Khorne's glory!	true
unit_abilities_onscreen_name_kho_blood_magic_blade_shard	Bloody Blade Rain	true
unit_abilities_tooltip_text_kho_blood_magic_blade_shard	Fragments of blades from Khorne's failed champions fall from the heavens, erasing them and their masters forever from forgotten battlefields.	true
unit_abilities_onscreen_name_kho_blood_magic_blade_shard_upgraded	Advanced Bloody Blade Rain	true
unit_abilities_tooltip_text_kho_blood_magic_blade_shard_upgraded	Fragments of blades from Khorne's failed champions fall from the heavens, erasing them and their masters forever from forgotten battlefields.	true
unit_abilities_onscreen_name_kho_blood_magic_khornesword	Decapitating Axe of Fury	true
unit_abilities_tooltip_text_kho_blood_magic_khornesword	No rampart, flesh heap, or metal wall can withstand the wrath of this blood-soaked manifestation!	true
unit_abilities_onscreen_name_kho_blood_magic_khornesword_upgraded	Advanced Decapitating Axe of Fury	true
unit_abilities_tooltip_text_kho_blood_magic_khornesword_upgraded	No rampart, flesh heap, or metal wall can withstand the wrath of this blood-soaked manifestation!	true
unit_abilities_onscreen_name_kho_blood_magic_sla_breath	Demonic Flame	true
unit_abilities_tooltip_text_kho_blood_magic_sla_breath	Dark Prince! Witness the fate of your pathetic servants! They now serve as tools for our slaughter!	true
unit_abilities_onscreen_name_kho_blood_magic_sla_breath_upgraded	Advanced Demonic Flame	true
unit_abilities_tooltip_text_kho_blood_magic_sla_breath_upgraded	Dark Prince! Witness the fate of your pathetic servants! They now serve as tools for our slaughter!	true
unit_abilities_onscreen_name_kho_cultist_magic_storm	Blood Cyclone	true
unit_abilities_tooltip_text_kho_cultist_magic_storm	Fanatics chant Khorne's great name, summoning cyclones of blood to shred every resisting body in their path.	true
unit_abilities_onscreen_name_kho_cultist_magic_chain_cage	Chains of Purgatory	true
unit_abilities_tooltip_text_kho_cultist_magic_chain_cage	Brass chains emerge from purgatory, binding cowards by their ankles and cutting off every piece of the sky from their sight.	true
unit_abilities_onscreen_name_kho_cultist_magic_chain_cage_upgraded	Advanced Chains of Purgatory	true
unit_abilities_tooltip_text_kho_cultist_magic_chain_cage_upgraded	Brass chains emerge from purgatory, binding cowards by their ankles and cutting off every piece of the sky from their sight.	true
unit_abilities_onscreen_name_kho_cultist_magic_fist	Skull-Crushing Blow	true
unit_abilities_tooltip_text_kho_cultist_magic_fist	A massive blood-drenched hand appears above Khorne's foes, crushing their skulls into fragments with a single punch.	true
unit_abilities_onscreen_name_kho_cultist_magic_fist_upgraded	Advanced Skull-Crushing Blow	true
unit_abilities_tooltip_text_kho_cultist_magic_fist_upgraded	A massive blood-drenched hand appears above Khorne's foes, crushing their skulls into fragments with a single punch.	true
unit_abilities_onscreen_name_kho_cultist_magic_flood_forbid	Weak Blood Sacrifice	true
unit_abilities_tooltip_text_kho_cultist_magic_flood_forbid	The skull of a faithful servant of the Changer of Ways explodes, showing those arrogant enough to wield the Winds of Magic their grim future!	true
unit_abilities_onscreen_name_kho_cultist_magic_flood_forbid_upgraded	Advanced Weak Blood Sacrifice	true
unit_abilities_tooltip_text_kho_cultist_magic_flood_forbid_upgraded	The skull of a faithful servant of the Changer of Ways explodes, showing those arrogant enough to wield the Winds of Magic their grim future!	true
unit_abilities_onscreen_name_kho_cultist_magic_flood_forbid_bound	Weak Blood Sacrifice	true
unit_abilities_tooltip_text_kho_cultist_magic_flood_forbid_bound	The skull of a faithful servant of the Changer of Ways explodes, showing those arrogant enough to wield the Winds of Magic their grim future!	true
unit_abilities_onscreen_name_kho_cultist_magic_mist	Blood-Seal Mist	true
unit_abilities_tooltip_text_kho_cultist_magic_mist	Fanatics summon Khorne's great seal, granting allies tremendous vitality and spurring them to bring death and despair to their enemies.	true
unit_abilities_onscreen_name_kho_cultist_magic_mist_upgraded	Advanced Blood-Seal Mist	true
unit_abilities_tooltip_text_kho_cultist_magic_mist_upgraded	Fanatics summon Khorne's great seal, granting allies tremendous vitality and spurring them to bring death and despair to their enemies.	true
unit_abilities_onscreen_name_kho_cultist_magic_whip	Blood-Soaked Lash	true
unit_abilities_tooltip_text_kho_cultist_magic_whip	Killing a servant of Khorne is never a mistake, but if you do, celebrate it as a testament to his glory!	true
unit_abilities_onscreen_name_kho_cultist_magic_whip_upgraded	Advanced Blood-Soaked Lash	true
unit_abilities_tooltip_text_kho_cultist_magic_whip_upgraded	Killing a servant of Khorne is never a mistake, but if you do, celebrate it as a testament to his glory!	true
unit_abilities_onscreen_name_kho_cultist_magic_whip_bound	Blood-Soaked Lash	true
unit_abilities_tooltip_text_kho_cultist_magic_whip_bound	Killing a servant of Khorne is never a mistake, but if you do, celebrate it as a testament to his glory!	true
special_ability_groups_name_kho_blood_magic	Khorne's Skull Magic	true
special_ability_groups_name_kho_cultist_magic	Khorne's Blood Magic	true
special_ability_phases_onscreen_name_kho_contact_bleeding	[[col:red]][[img:ui/battle ui/ability_icons/kho_contact_bleeding.png]][[/img]]River of Blood[[/col]]	true
