key	text	tooltip
#Loc;1;text/@@@z_climate_lite.loc		
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_1	Unsuitable Climate (Adaptation: 10%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_2	Unsuitable Climate (Adaptation: 20%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_3	Unsuitable Climate (Adaptation: 30%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_4	Unsuitable Climate (Adaptation: 40%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_5	Unsuitable Climate (Adaptation: 50%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_6	Unsuitable Climate (Adaptation: 60%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_7	Unsuitable Climate (Adaptation: 70%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_8	Unsuitable Climate (Adaptation: 80%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_9	Unsuitable Climate (Adaptation: 90%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_boris_10	Unsuitable Climate (Fully Adapted)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_1	Unsuitable Climate (Adaptation: 10%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_2	Unsuitable Climate (Adaptation: 20%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_3	Unsuitable Climate (Adaptation: 30%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_4	Unsuitable Climate (Adaptation: 40%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_5	Unsuitable Climate (Adaptation: 50%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_6	Unsuitable Climate (Adaptation: 60%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_7	Unsuitable Climate (Adaptation: 70%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_8	Unsuitable Climate (Adaptation: 80%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_9	Unsuitable Climate (Adaptation: 90%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_chaotic_10	Unsuitable Climate (Fully Adapted)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_desert_1	Unsuitable Climate (Adaptation: 10%)	false
effect_bundles_localised_title_z_climate_lite_unsuitable_desert_2	Unsuitable Climate (Adaptation: 20%)	false
